symbol,decision_date,direction,entry_date,entry_price,exit_date,exit_price,exit_reason,confidence,holding_days,gross_pnl_pct,cost_pct,pnl_pct,note
AAPL,2025-10-03,1,2025-10-06,257.2622,2025-10-10,250.012,stop,0.248,4,-0.02818,0.0014,-0.02958,combined=+0.248 [Weak] | ind=+0.809 | trend=-0.296 | pat=+0.214 | trend_dir=Uptrend | pattern=Hammer + 2 more (21% conf)
AAPL,2025-10-17,1,2025-10-20,255.1681,2025-10-27,264.1327,horizon,0.238,5,0.03513,0.0014,0.03373,combined=+0.238 [Weak] | ind=-0.280 | trend=+0.661 | pat=+0.429 | trend_dir=Uptrend | pattern=Harami + 1 more (43% conf)
AAPL,2025-10-24,1,2025-10-27,264.1327,2025-10-31,274.451,target,0.376,4,0.03906,0.0014,0.03766,combined=+0.376 [Moderate] | ind=+0.697 | trend=+0.029 | pat=+0.429 | trend_dir=Uptrend | pattern=Harami + 1 more (43% conf)
AAPL,2025-10-31,1,2025-11-03,269.6571,2025-11-10,268.4612,horizon,0.284,5,-0.00444,0.0014,-0.00584,combined=+0.284 [Moderate] | ind=+0.838 | trend=-0.342 | pat=+0.429 | trend_dir=Uptrend | pattern=Marubozu + 1 more (43% conf)
AAPL,2025-11-07,1,2025-11-10,268.4612,2025-11-17,268.3215,horizon,0.3,5,-0.00052,0.0014,-0.00192,combined=+0.300 [Moderate] | ind=+0.334 | trend=+0.309 | pat=+0.214 | trend_dir=Uptrend | pattern=Hammer (21% conf)
AAPL,2025-11-14,1,2025-11-17,268.3215,2025-11-24,270.3976,horizon,0.223,5,0.00774,0.0014,0.00634,combined=+0.223 [Weak] | ind=+0.262 | trend=+0.296 | pat=+0.000 | trend_dir=Uptrend | pattern=Harami + 1 more (0% conf)
AAPL,2025-11-21,1,2025-11-24,270.3976,2025-12-01,282.3423,target,0.173,4,0.04417,0.0014,0.04277,combined=+0.173 [Weak] | ind=-0.140 | trend=+0.466 | pat=+0.214 | trend_dir=Uptrend | pattern=Engulfing (21% conf)
AAPL,2025-11-28,1,2025-12-01,277.4945,2025-12-02,285.794,target,0.349,1,0.02991,0.0014,0.02851,combined=+0.349 [Moderate] | ind=+0.680 | trend=-0.023 | pat=+0.429 | trend_dir=Uptrend | pattern=Engulfing + 1 more (43% conf)
AAPL,2025-12-05,1,2025-12-08,277.6142,2025-12-15,279.6305,horizon,0.328,5,0.00726,0.0014,0.00586,combined=+0.328 [Moderate] | ind=+0.479 | trend=+0.340 | pat=+0.000 | trend_dir=Uptrend | pattern=None (0% conf)
AAPL,2025-12-12,1,2025-12-15,279.6305,2025-12-15,273.0149,stop,0.166,1,-0.02366,0.0014,-0.02506,combined=+0.166 [Weak] | ind=-0.166 | trend=+0.473 | pat=+0.214 | trend_dir=Uptrend | pattern=Doji (21% conf)
AAPL,2025-12-19,1,2025-12-22,272.354,2025-12-29,272.1843,horizon,0.164,4,-0.00062,0.0014,-0.00202,combined=+0.164 [Weak] | ind=-0.646 | trend=+0.948 | pat=+0.214 | trend_dir=Uptrend | pattern=Engulfing + 2 more (21% conf)
AAPL,2025-12-26,1,2025-12-29,272.1843,2026-01-05,266.0789,stop,0.244,4,-0.02243,0.0014,-0.02383,combined=+0.244 [Weak] | ind=-0.347 | trend=+0.851 | pat=+0.214 | trend_dir=Uptrend | pattern=Engulfing (21% conf)
AAPL,2026-01-02,1,2026-01-05,270.1381,2026-01-06,264.1546,stop,0.246,1,-0.02215,0.0014,-0.02355,combined=+0.246 [Weak] | ind=-0.446 | trend=+0.954 | pat=+0.214 | trend_dir=Uptrend | pattern=Doji (21% conf)
AAPL,2026-01-30,1,2026-02-02,259.5478,2026-02-02,269.0107,target,0.191,1,0.03646,0.0014,0.03506,combined=+0.191 [Weak] | ind=+0.598 | trend=-0.120 | pat=+0.000 | trend_dir=Downtrend | pattern=ShootingStar + 1 more (0% conf)
AAPL,2026-02-06,1,2026-02-09,277.6542,2026-02-11,279.5259,target,0.765,2,0.00674,0.0014,0.00534,combined=+0.765 [Strong] | ind=+0.913 | trend=+1.000 | pat=+0.000 | trend_dir=Downtrend | pattern=Harami + 1 more (0% conf)
AAPL,2026-04-10,1,2026-04-13,259.4909,2026-04-17,268.1703,target,0.156,4,0.03345,0.0014,0.03205,combined=+0.156 [Weak] | ind=+0.740 | trend=-0.349 | pat=+0.000 | trend_dir=Downtrend | pattern=ShootingStar + 1 more (0% conf)
AAPL,2026-05-01,1,2026-05-04,279.4026,2026-05-04,280.2143,target,0.675,1,0.00291,0.0014,0.00151,combined=+0.675 [Strong] | ind=+0.794 | trend=+1.000 | pat=-0.214 | trend_dir=Downtrend | pattern=ShootingStar (21% conf)
AAPL,2026-05-08,1,2026-05-11,291.98,2026-05-12,294.574,target,0.824,1,0.00888,0.0014,0.00748,combined=+0.824 [Strong] | ind=+0.953 | trend=+1.000 | pat=+0.214 | trend_dir=Uptrend | pattern=Marubozu (21% conf)
AAPL,2026-05-29,1,2026-06-01,309.63,2026-06-02,315.142,target,0.237,1,0.0178,0.0014,0.0164,combined=+0.237 [Weak] | ind=+0.946 | trend=-0.546 | pat=+0.386 | trend_dir=Uptrend | pattern=Engulfing + 1 more (39% conf)
