symbol,decision_date,direction,entry_date,entry_price,exit_date,exit_price,exit_reason,confidence,holding_days,gross_pnl_pct,cost_pct,pnl_pct,note
BTC-USD,2025-08-08,1,2025-08-09,116678.2734,2025-08-14,123937.3259,target,0.218,5,0.06221,0.0014,0.06081,combined=+0.218 [Weak] | ind=+0.007 | trend=+0.539 | pat=+0.000 | trend_dir=Uptrend | pattern=Engulfing + 1 more (0% conf)
BTC-USD,2025-08-15,1,2025-08-16,117398.4219,2025-08-19,112963.1044,stop,0.425,3,-0.03778,0.0014,-0.03918,combined=+0.425 [Moderate] | ind=+0.231 | trend=+0.725 | pat=+0.214 | trend_dir=Uptrend | pattern=Engulfing (21% conf)
BTC-USD,2025-08-29,-1,2025-08-30,108409.4062,2025-08-30,108266.3364,target,0.684,1,0.00132,0.00144,-0.00012,combined=-0.684 [Strong] | ind=-0.818 | trend=-1.000 | pat=+0.214 | trend_dir=Uptrend | pattern=Engulfing (21% conf)
BTC-USD,2025-10-03,1,2025-10-04,122267.4688,2025-10-05,123793.2434,target,0.765,1,0.01248,0.0014,0.01108,combined=+0.765 [Strong] | ind=+0.913 | trend=+1.000 | pat=+0.000 | trend_dir=Downtrend | pattern=Harami + 1 more (0% conf)
BTC-USD,2025-10-17,-1,2025-10-18,106483.7344,2025-10-21,113765.4802,stop,0.665,3,-0.06838,0.00152,-0.0699,combined=-0.665 [Strong] | ind=-0.877 | trend=-1.000 | pat=+0.429 | trend_dir=Uptrend | pattern=Hammer + 1 more (43% conf)
BTC-USD,2025-11-14,-1,2025-11-15,94420.4688,2025-11-16,94227.4209,target,0.879,1,0.00204,0.00144,0.0006,combined=-0.879 [Strong] | ind=-0.875 | trend=-1.000 | pat=-0.643 | trend_dir=Downtrend | pattern=Engulfing + 2 more (64% conf)
BTC-USD,2025-11-21,-1,2025-11-22,85098.5625,2025-11-22,84696.5176,target,0.788,1,0.00472,0.00144,0.00328,combined=-0.788 [Strong] | ind=-0.969 | trend=-1.000 | pat=+0.000 | trend_dir=Downtrend | pattern=None (0% conf)
BTC-USD,2025-12-12,-1,2025-12-13,90257.7969,2025-12-20,88101.6719,horizon,0.157,7,0.02389,0.00168,0.02221,combined=-0.157 [Weak] | ind=+0.271 | trend=-0.663 | pat=+0.000 | trend_dir=Downtrend | pattern=Engulfing + 1 more (0% conf)
BTC-USD,2025-12-19,-1,2025-12-20,88101.6719,2025-12-27,87301.4297,horizon,0.499,7,0.00908,0.00168,0.00741,combined=-0.499 [Moderate] | ind=-0.457 | trend=-0.684 | pat=-0.214 | trend_dir=Downtrend | pattern=Engulfing (21% conf)
BTC-USD,2025-12-26,-1,2025-12-27,87301.4297,2026-01-03,89945.0547,horizon,0.224,7,-0.03028,0.00168,-0.03196,combined=-0.224 [Weak] | ind=-0.100 | trend=-0.567 | pat=+0.214 | trend_dir=Downtrend | pattern=Doji (21% conf)
BTC-USD,2026-01-30,-1,2026-01-31,84126.5,2026-01-31,83853.8656,target,0.685,1,0.00324,0.00144,0.0018,combined=-0.685 [Strong] | ind=-0.820 | trend=-1.000 | pat=+0.214 | trend_dir=Uptrend | pattern=Doji (21% conf)
BTC-USD,2026-02-06,-1,2026-02-07,70553.7969,2026-02-07,69127.9618,target,0.725,1,0.02021,0.00144,0.01877,combined=-0.725 [Strong] | ind=-0.813 | trend=-1.000 | pat=+0.000 | trend_dir=Downtrend | pattern=Engulfing + 1 more (0% conf)
BTC-USD,2026-03-06,-1,2026-03-07,68136.6875,2026-03-13,73340.9203,stop,0.152,6,-0.07638,0.00164,-0.07802,combined=-0.152 [Weak] | ind=+0.392 | trend=-0.878 | pat=+0.214 | trend_dir=Downtrend | pattern=Engulfing (21% conf)
BTC-USD,2026-03-20,-1,2026-03-21,70522.4688,2026-03-28,66338.5,horizon,0.227,7,0.05933,0.00168,0.05765,combined=-0.227 [Weak] | ind=+0.163 | trend=-0.623 | pat=-0.214 | trend_dir=Downtrend | pattern=Harami (21% conf)
BTC-USD,2026-03-27,-1,2026-03-28,66338.5,2026-04-04,66938.6484,horizon,0.275,7,-0.00905,0.00168,-0.01072,combined=-0.275 [Moderate] | ind=-0.755 | trend=+0.067 | pat=+0.000 | trend_dir=Downtrend | pattern=Engulfing + 1 more (0% conf)
BTC-USD,2026-05-22,-1,2026-05-23,75488.3125,2026-05-23,74416.1792,target,0.654,1,0.0142,0.00144,0.01276,combined=-0.654 [Strong] | ind=-0.849 | trend=-1.000 | pat=+0.429 | trend_dir=Uptrend | pattern=Engulfing + 1 more (43% conf)
BTC-USD,2026-05-29,-1,2026-05-30,73370.8516,2026-06-01,72809.6515,target,0.699,2,0.00765,0.00148,0.00617,combined=-0.699 [Strong] | ind=-0.854 | trend=-1.000 | pat=+0.214 | trend_dir=Uptrend | pattern=Engulfing + 2 more (21% conf)
