symbol,decision_date,direction,entry_date,entry_price,exit_date,exit_price,exit_reason,confidence,holding_days,gross_pnl_pct,cost_pct,pnl_pct,note
TSLA,2025-09-12,1,2025-09-15,423.13,2025-09-15,403.0761,stop,0.828,1,-0.04739,0.0014,-0.04879,combined=+0.828 [Strong] | ind=+0.963 | trend=+1.000 | pat=+0.214 | trend_dir=Uptrend | pattern=Engulfing + 2 more (21% conf)
TSLA,2025-09-19,1,2025-09-22,431.11,2025-09-22,438.8111,target,0.788,1,0.01786,0.0014,0.01646,combined=+0.788 [Strong] | ind=+0.971 | trend=+1.000 | pat=+0.000 | trend_dir=Uptrend | pattern=DarkCloudCover + 1 more (0% conf)
TSLA,2025-10-17,1,2025-10-20,443.87,2025-10-27,439.98,horizon,0.172,5,-0.00876,0.0014,-0.01016,combined=+0.172 [Weak] | ind=-0.150 | trend=+0.473 | pat=+0.214 | trend_dir=Uptrend | pattern=Engulfing + 2 more (21% conf)
TSLA,2025-10-24,1,2025-10-27,439.98,2025-11-03,455.99,horizon,0.482,5,0.03639,0.0014,0.03499,combined=+0.482 [Moderate] | ind=+0.158 | trend=+0.939 | pat=+0.214 | trend_dir=Uptrend | pattern=Engulfing (21% conf)
TSLA,2025-10-31,1,2025-11-03,455.99,2025-11-07,428.765,stop,0.406,4,-0.05971,0.0014,-0.06111,combined=+0.406 [Moderate] | ind=+0.437 | trend=+0.471 | pat=+0.214 | trend_dir=Uptrend | pattern=Doji (21% conf)
TSLA,2025-11-28,1,2025-12-01,425.32,2025-12-08,447.45,horizon,0.266,5,0.05203,0.0014,0.05063,combined=+0.266 [Moderate] | ind=+0.441 | trend=+0.223 | pat=+0.000 | trend_dir=Uptrend | pattern=None (0% conf)
TSLA,2026-02-20,1,2026-02-23,407.29,2026-03-02,390.6,horizon,0.2,5,-0.04098,0.0014,-0.04238,combined=+0.200 [Weak] | ind=+0.088 | trend=+0.197 | pat=+0.429 | trend_dir=Downtrend | pattern=Hammer + 1 more (43% conf)
TSLA,2026-03-13,-1,2026-03-16,396.22,2026-03-23,373.09,horizon,0.207,5,0.05838,0.0016,0.05678,combined=-0.207 [Weak] | ind=-0.366 | trend=-0.152 | pat=+0.000 | trend_dir=Downtrend | pattern=Engulfing + 1 more (0% conf)
TSLA,2026-03-27,-1,2026-03-30,365.86,2026-03-30,365.0983,target,0.848,1,0.00208,0.00144,0.00064,combined=-0.848 [Strong] | ind=-0.905 | trend=-1.000 | pat=-0.429 | trend_dir=Downtrend | pattern=ShootingStar + 1 more (43% conf)
TSLA,2026-04-17,1,2026-04-20,402.58,2026-04-23,377.365,stop,0.745,3,-0.06263,0.0014,-0.06403,combined=+0.745 [Strong] | ind=+0.862 | trend=+1.000 | pat=+0.000 | trend_dir=Downtrend | pattern=None (0% conf)
TSLA,2026-05-01,-1,2026-05-04,390.23,2026-05-07,413.2154,stop,0.221,3,-0.0589,0.00152,-0.06042,combined=-0.221 [Weak] | ind=+0.234 | trend=-1.000 | pat=+0.429 | trend_dir=Downtrend | pattern=Engulfing + 3 more (43% conf)
TSLA,2026-05-08,1,2026-05-11,422.16,2026-05-11,436.0283,target,0.722,1,0.03285,0.0014,0.03145,combined=+0.722 [Strong] | ind=+0.912 | trend=+1.000 | pat=-0.214 | trend_dir=Downtrend | pattern=Engulfing (21% conf)
