symbol,decision_date,direction,entry_date,entry_price,exit_date,exit_price,exit_reason,confidence,holding_days,gross_pnl_pct,cost_pct,pnl_pct,note
JNJ,2015-02-27,1,2015-02-27,75.5584,2015-03-11,73.2045,regime,1.0,8,-0.03115,0.0014,-0.03255,regime
JNJ,2015-05-15,1,2015-05-15,74.7811,2015-06-01,74.0707,regime,1.0,10,-0.0095,0.0014,-0.0109,regime
JNJ,2015-07-17,1,2015-07-17,74.5213,2015-07-28,73.044,regime,1.0,7,-0.01982,0.0014,-0.02122,regime
JNJ,2015-10-16,1,2015-10-16,72.8436,2015-11-16,74.7118,regime,1.0,21,0.02565,0.0014,0.02425,regime
JNJ,2015-11-19,1,2015-11-19,76.4088,2016-01-05,75.4125,regime,1.0,30,-0.01304,0.0014,-0.01444,regime
JNJ,2016-02-01,1,2016-02-01,77.6843,2016-08-04,94.4972,regime,1.0,129,0.21643,0.0014,0.21503,regime
JNJ,2016-11-10,1,2016-11-10,92.4707,2016-11-23,86.5411,regime,1.0,9,-0.06412,0.0014,-0.06552,regime
JNJ,2017-02-13,1,2017-02-13,88.8771,2017-03-27,97.1328,regime,1.0,29,0.09289,0.0014,0.09149,regime
JNJ,2017-05-16,1,2017-05-16,98.8246,2017-07-03,103.7376,regime,1.0,33,0.04971,0.0014,0.04831,regime
JNJ,2017-09-15,1,2017-09-15,105.9698,2017-09-28,102.1333,regime,1.0,9,-0.0362,0.0014,-0.0376,regime
JNJ,2017-10-12,1,2017-10-12,107.1884,2017-11-20,108.6114,regime,1.0,27,0.01328,0.0014,0.01188,regime
JNJ,2017-12-13,1,2017-12-13,112.7174,2018-01-03,110.2336,regime,1.0,13,-0.02204,0.0014,-0.02344,regime
JNJ,2018-01-10,1,2018-01-10,113.548,2018-02-01,108.7861,regime,1.0,15,-0.04194,0.0014,-0.04334,regime
JNJ,2018-03-12,1,2018-03-12,106.5134,2018-03-23,101.6017,regime,1.0,9,-0.04611,0.0014,-0.04751,regime
JNJ,2018-07-06,1,2018-07-06,100.3743,2018-08-14,103.9912,regime,1.0,27,0.03603,0.0014,0.03463,regime
JNJ,2018-08-20,1,2018-08-20,108.2096,2018-09-27,111.7725,regime,1.0,27,0.03293,0.0014,0.03153,regime
JNJ,2018-11-06,1,2018-11-06,114.259,2018-11-23,114.5173,regime,1.0,12,0.00226,0.0014,0.00086,regime
JNJ,2019-01-31,1,2019-01-31,106.9433,2019-03-26,111.9871,regime,1.0,37,0.04716,0.0014,0.04576,regime
JNJ,2019-05-01,1,2019-05-01,115.2749,2019-05-30,108.2327,regime,1.0,20,-0.06109,0.0014,-0.06249,regime
JNJ,2019-06-13,1,2019-06-13,116.6977,2019-07-15,111.4853,regime,1.0,21,-0.04467,0.0014,-0.04607,regime
JNJ,2019-10-17,1,2019-10-17,112.7936,2019-10-21,106.7457,regime,1.0,2,-0.05362,0.0014,-0.05502,regime
JNJ,2019-11-18,1,2019-11-18,111.3501,2020-02-19,124.6435,regime,1.0,62,0.11938,0.0014,0.11798,regime
JNJ,2020-04-09,1,2020-04-09,121.0668,2020-06-12,120.9156,regime,1.0,44,-0.00125,0.0014,-0.00265,regime
JNJ,2020-07-15,1,2020-07-15,126.748,2020-07-30,124.8095,regime,1.0,11,-0.01529,0.0014,-0.01669,regime
JNJ,2020-08-24,1,2020-08-24,130.1566,2020-09-22,123.2969,regime,1.0,20,-0.0527,0.0014,-0.0541,regime
JNJ,2020-10-12,1,2020-10-12,129.1852,2020-10-20,123.2713,regime,1.0,6,-0.04578,0.0014,-0.04718,regime
JNJ,2020-11-16,1,2020-11-16,128.6057,2020-11-24,123.5615,regime,1.0,6,-0.03922,0.0014,-0.04062,regime
JNJ,2020-12-07,1,2020-12-07,128.1522,2021-02-23,139.4246,regime,1.0,52,0.08796,0.0014,0.08656,regime
JNJ,2021-03-29,1,2021-03-29,141.4536,2021-04-14,136.2731,regime,1.0,11,-0.03662,0.0014,-0.03802,regime
JNJ,2021-05-10,1,2021-05-10,146.6945,2021-06-02,143.6133,regime,1.0,16,-0.021,0.0014,-0.0224,regime
JNJ,2021-07-06,1,2021-07-06,145.8808,2021-08-30,151.0127,regime,1.0,39,0.03518,0.0014,0.03378,regime
JNJ,2021-10-27,1,2021-10-27,144.7987,2021-11-23,140.3283,regime,1.0,19,-0.03087,0.0014,-0.03227,regime
JNJ,2021-12-14,1,2021-12-14,148.0784,2022-01-18,146.9964,regime,1.0,23,-0.00731,0.0014,-0.00871,regime
JNJ,2022-03-08,1,2022-03-08,152.3135,2022-05-06,155.0581,regime,1.0,42,0.01802,0.0014,0.01662,regime
JNJ,2022-06-27,1,2022-06-27,161.8461,2022-07-20,153.4349,regime,1.0,16,-0.05197,0.0014,-0.05337,regime
