symbol,decision_date,direction,entry_date,entry_price,exit_date,exit_price,exit_reason,confidence,holding_days,gross_pnl_pct,cost_pct,pnl_pct,note
JNJ,2015-02-27,1,2015-02-27,75.5584,2015-03-11,72.698,trail_stop,1.0,8,-0.03786,0.0014,-0.03926,trailing
JNJ,2015-05-15,1,2015-05-15,74.7811,2015-05-29,73.7896,trail_stop,1.0,9,-0.01326,0.0014,-0.01466,trailing
JNJ,2015-07-17,1,2015-07-17,74.5213,2015-07-28,73.044,regime,1.0,7,-0.01982,0.0014,-0.02122,trailing
JNJ,2015-10-16,1,2015-10-16,72.8436,2015-11-16,74.7118,regime,1.0,21,0.02565,0.0014,0.02425,trailing
JNJ,2015-11-19,1,2015-11-19,76.4088,2016-01-04,75.4773,trail_stop,1.0,29,-0.01219,0.0014,-0.01359,trailing
JNJ,2016-02-01,1,2016-02-01,77.6843,2016-08-04,94.4972,regime,1.0,129,0.21643,0.0014,0.21503,trailing
JNJ,2016-11-10,1,2016-11-10,92.4707,2016-11-15,88.7577,trail_stop,1.0,3,-0.04015,0.0014,-0.04155,trailing
JNJ,2017-02-13,1,2017-02-13,88.8771,2017-03-27,97.1328,regime,1.0,29,0.09289,0.0014,0.09149,trailing
JNJ,2017-05-16,1,2017-05-16,98.8246,2017-06-29,103.6265,trail_stop,1.0,31,0.04859,0.0014,0.04719,trailing
JNJ,2017-09-15,1,2017-09-15,105.9698,2017-09-27,102.4713,trail_stop,1.0,8,-0.03301,0.0014,-0.03441,trailing
JNJ,2017-10-12,1,2017-10-12,107.1884,2017-11-17,108.6748,trail_stop,1.0,26,0.01387,0.0014,0.01247,trailing
JNJ,2017-12-13,1,2017-12-13,112.7174,2018-01-03,110.2336,regime,1.0,13,-0.02204,0.0014,-0.02344,trailing
JNJ,2018-01-10,1,2018-01-10,113.548,2018-01-23,113.2327,trail_stop,1.0,8,-0.00278,0.0014,-0.00418,trailing
JNJ,2018-03-12,1,2018-03-12,106.5134,2018-03-22,101.4078,trail_stop,1.0,8,-0.04793,0.0014,-0.04933,trailing
JNJ,2018-07-06,1,2018-07-06,100.3743,2018-08-14,103.9912,regime,1.0,27,0.03603,0.0014,0.03463,trailing
JNJ,2018-08-20,1,2018-08-20,108.2096,2018-09-26,111.6381,trail_stop,1.0,26,0.03168,0.0014,0.03028,trailing
JNJ,2018-11-06,1,2018-11-06,114.259,2018-11-21,114.0468,trail_stop,1.0,11,-0.00186,0.0014,-0.00326,trailing
JNJ,2019-01-31,1,2019-01-31,106.9433,2019-03-26,111.9871,regime,1.0,37,0.04716,0.0014,0.04576,trailing
JNJ,2019-05-01,1,2019-05-01,115.2749,2019-05-15,110.7002,trail_stop,1.0,10,-0.03968,0.0014,-0.04108,trailing
JNJ,2019-06-13,1,2019-06-13,116.6977,2019-06-28,114.1533,trail_stop,1.0,11,-0.0218,0.0014,-0.0232,trailing
JNJ,2019-10-17,1,2019-10-17,112.7936,2019-10-18,106.7351,trail_stop,1.0,1,-0.05371,0.0014,-0.05511,trailing
JNJ,2019-11-18,1,2019-11-18,111.3501,2020-01-07,118.108,trail_stop,1.0,33,0.06069,0.0014,0.05929,trailing
JNJ,2020-04-09,1,2020-04-09,121.0668,2020-06-11,119.4257,trail_stop,1.0,43,-0.01356,0.0014,-0.01496,trailing
JNJ,2020-07-15,1,2020-07-15,126.748,2020-07-30,124.8095,regime,1.0,11,-0.01529,0.0014,-0.01669,trailing
JNJ,2020-08-24,1,2020-08-24,130.1566,2020-09-04,125.4414,trail_stop,1.0,9,-0.03623,0.0014,-0.03763,trailing
JNJ,2020-10-12,1,2020-10-12,129.1852,2020-10-19,123.0369,trail_stop,1.0,5,-0.04759,0.0014,-0.04899,trailing
JNJ,2020-11-16,1,2020-11-16,128.6057,2020-11-24,123.5615,regime,1.0,6,-0.03922,0.0014,-0.04062,trailing
JNJ,2020-12-07,1,2020-12-07,128.1522,2021-01-29,138.6525,trail_stop,1.0,36,0.08194,0.0014,0.08054,trailing
JNJ,2021-03-29,1,2021-03-29,141.4536,2021-04-13,135.4356,trail_stop,1.0,10,-0.04254,0.0014,-0.04394,trailing
JNJ,2021-05-10,1,2021-05-10,146.6945,2021-06-02,143.6133,regime,1.0,16,-0.021,0.0014,-0.0224,trailing
JNJ,2021-07-06,1,2021-07-06,145.8808,2021-08-26,151.8321,trail_stop,1.0,37,0.0408,0.0014,0.0394,trailing
JNJ,2021-10-27,1,2021-10-27,144.7987,2021-11-23,140.3283,regime,1.0,19,-0.03087,0.0014,-0.03227,trailing
JNJ,2021-12-14,1,2021-12-14,148.0784,2022-01-14,147.9552,trail_stop,1.0,22,-0.00083,0.0014,-0.00223,trailing
JNJ,2022-03-08,1,2022-03-08,152.3135,2022-05-05,155.5564,trail_stop,1.0,41,0.02129,0.0014,0.01989,trailing
JNJ,2022-06-27,1,2022-06-27,161.8461,2022-07-19,152.9811,trail_stop,1.0,15,-0.05477,0.0014,-0.05617,trailing
JNJ,2022-10-24,1,2022-10-24,152.3219,2023-01-11,157.3193,trail_stop,1.0,54,0.03281,0.0014,0.03141,trailing
JNJ,2023-04-04,1,2023-04-04,142.7324,2023-05-10,146.5787,regime,1.0,25,0.02695,0.0014,0.02555,trailing
JNJ,2023-06-14,1,2023-06-14,148.0511,2023-07-07,146.794,trail_stop,1.0,15,-0.00849,0.0014,-0.00989,trailing
JNJ,2023-07-21,1,2023-07-21,154.0794,2023-08-22,151.8354,trail_stop,1.0,22,-0.01456,0.0014,-0.01596,trailing
JNJ,2023-11-27,1,2023-11-27,141.66,2023-12-13,142.2817,trail_stop,1.0,12,0.00439,0.0014,0.00299,trailing
JNJ,2024-02-23,1,2024-02-23,150.7867,2024-03-18,146.8964,trail_stop,1.0,16,-0.0258,0.0014,-0.0272,trailing
JNJ,2024-05-16,1,2024-05-16,143.4011,2024-05-24,139.9971,trail_stop,1.0,6,-0.02374,0.0014,-0.02514,trailing
JNJ,2024-07-17,1,2024-07-17,143.1902,2024-09-24,153.8126,trail_stop,1.0,48,0.07418,0.0014,0.07278,trailing
JNJ,2025-01-17,1,2025-01-17,141.4906,2025-03-26,155.9433,regime,1.0,46,0.10215,0.0014,0.10075,trailing
JNJ,2025-06-11,1,2025-06-11,152.4899,2025-06-18,147.2996,trail_stop,1.0,5,-0.03404,0.0014,-0.03544,trailing
JNJ,2025-07-17,1,2025-07-17,159.2022,2025-09-19,171.6826,regime,1.0,45,0.07839,0.0014,0.07699,trailing
JNJ,2025-09-29,1,2025-09-29,176.7341,2025-10-30,183.8592,regime,1.0,23,0.04032,0.0014,0.03892,trailing
JNJ,2025-11-18,1,2025-11-18,195.5839,2025-12-10,198.3883,regime,1.0,15,0.01434,0.0014,0.01294,trailing
JNJ,2025-12-12,1,2025-12-12,207.972,2025-12-23,201.2523,trail_stop,1.0,7,-0.03231,0.0014,-0.03371,trailing
JNJ,2026-05-26,1,2026-05-26,233.0,2026-06-01,221.0827,trail_stop,1.0,4,-0.05115,0.0014,-0.05255,trailing
