symbol,decision_date,direction,entry_date,entry_price,exit_date,exit_price,exit_reason,confidence,holding_days,gross_pnl_pct,cost_pct,pnl_pct,note
XOM,2015-02-13,1,2015-02-13,57.495,2015-02-20,55.4483,regime,1.0,4,-0.0356,0.0014,-0.037,trailing
XOM,2015-04-15,1,2015-04-15,54.0466,2015-05-27,53.0237,trail_stop,1.0,29,-0.01893,0.0014,-0.02033,trailing
XOM,2015-10-05,1,2015-10-05,48.3821,2015-11-12,51.2998,trail_stop,1.0,28,0.0603,0.0014,0.0589,trailing
XOM,2016-02-08,1,2016-02-08,50.4912,2016-04-06,53.1275,regime,1.0,40,0.05221,0.0014,0.05081,trailing
XOM,2016-04-15,1,2016-04-15,54.8044,2016-06-27,57.123,trail_stop,1.0,50,0.04231,0.0014,0.04091,trailing
XOM,2016-06-30,1,2016-06-30,59.8197,2016-07-26,59.0672,trail_stop,1.0,17,-0.01258,0.0014,-0.01398,trailing
XOM,2016-09-09,1,2016-09-09,57.9317,2016-09-13,55.8637,trail_stop,1.0,2,-0.0357,0.0014,-0.0371,trailing
XOM,2016-10-11,1,2016-10-11,57.5527,2016-10-31,54.793,trail_stop,1.0,14,-0.04795,0.0014,-0.04935,trailing
XOM,2016-12-12,1,2016-12-12,59.4203,2017-01-05,58.4522,trail_stop,1.0,16,-0.01629,0.0014,-0.01769,trailing
XOM,2017-05-12,1,2017-05-12,55.3257,2017-06-01,53.9517,trail_stop,1.0,13,-0.02483,0.0014,-0.02623,trailing
XOM,2017-09-13,1,2017-09-13,53.9025,2017-11-16,55.0446,trail_stop,1.0,46,0.02119,0.0014,0.01979,trailing
XOM,2017-12-04,1,2017-12-04,56.9401,2018-02-02,58.2539,trail_stop,1.0,41,0.02307,0.0014,0.02167,trailing
XOM,2018-04-06,1,2018-04-06,52.2893,2018-04-27,53.0477,trail_stop,1.0,15,0.0145,0.0014,0.0131,trailing
XOM,2018-06-08,1,2018-06-08,58.0355,2018-06-22,56.6739,regime,1.0,10,-0.02346,0.0014,-0.02486,trailing
XOM,2018-07-27,1,2018-07-27,56.5412,2018-08-02,55.787,regime,1.0,4,-0.01334,0.0014,-0.01474,trailing
XOM,2018-08-30,1,2018-08-30,56.7575,2018-10-11,58.8977,trail_stop,1.0,29,0.03771,0.0014,0.03631,trailing
XOM,2019-02-04,1,2019-02-04,53.9905,2019-04-26,57.8397,trail_stop,1.0,57,0.07129,0.0014,0.06989,trailing
