symbol,decision_date,direction,entry_date,entry_price,exit_date,exit_price,exit_reason,confidence,holding_days,gross_pnl_pct,cost_pct,pnl_pct,note
XOM,2015-02-13,1,2015-02-13,57.495,2015-02-20,55.4483,regime,1.0,4,-0.0356,0.0014,-0.037,regime
XOM,2015-03-06,-1,2015-03-06,53.5938,2015-04-15,54.0466,regime,1.0,27,-0.00845,0.00247,-0.01092,regime
XOM,2015-04-15,1,2015-04-15,54.0466,2015-05-27,53.343,regime,1.0,29,-0.01302,0.0014,-0.01442,regime
XOM,2015-05-27,-1,2015-05-27,53.343,2015-10-05,48.3821,regime,1.0,91,0.093,0.00501,0.08799,regime
XOM,2015-10-05,1,2015-10-05,48.3821,2015-11-13,50.4784,regime,1.0,29,0.04333,0.0014,0.04193,regime
XOM,2015-11-16,-1,2015-11-16,49.6252,2015-12-24,51.1088,regime,1.0,27,-0.02989,0.00247,-0.03237,regime
XOM,2016-01-12,-1,2016-01-12,47.193,2016-01-15,48.6001,regime,1.0,3,-0.02982,0.00152,-0.03134,regime
XOM,2016-02-08,1,2016-02-08,50.4912,2016-04-06,53.1275,regime,1.0,40,0.05221,0.0014,0.05081,regime
XOM,2016-04-15,1,2016-04-15,54.8044,2016-06-28,58.1351,regime,1.0,51,0.06078,0.0014,0.05938,regime
XOM,2016-06-30,1,2016-06-30,59.8197,2016-07-26,59.3661,regime,1.0,17,-0.00758,0.0014,-0.00898,regime
XOM,2016-07-29,-1,2016-07-29,56.7616,2016-08-19,57.9121,regime,1.0,15,-0.02027,0.002,-0.02226,regime
XOM,2016-09-09,1,2016-09-09,57.9317,2016-09-14,55.5663,regime,1.0,3,-0.04083,0.0014,-0.04223,regime
XOM,2016-09-14,-1,2016-09-14,55.5663,2016-09-29,56.8274,regime,1.0,11,-0.0227,0.00184,-0.02453,regime
XOM,2016-10-11,1,2016-10-11,57.5527,2016-10-31,54.8084,regime,1.0,14,-0.04768,0.0014,-0.04908,regime
XOM,2016-10-31,-1,2016-10-31,54.8084,2016-11-11,57.0406,regime,1.0,9,-0.04073,0.00176,-0.04248,regime
XOM,2016-12-12,1,2016-12-12,59.4203,2017-01-05,59.4533,regime,1.0,16,0.00055,0.0014,-0.00085,regime
XOM,2017-01-10,-1,2017-01-10,57.4625,2017-03-31,55.3869,regime,1.0,56,0.03612,0.00362,0.0325,regime
XOM,2017-04-20,-1,2017-04-20,53.8502,2017-05-04,54.7416,regime,1.0,10,-0.01655,0.0018,-0.01835,regime
XOM,2017-05-12,1,2017-05-12,55.3257,2017-06-01,53.9693,regime,1.0,13,-0.02452,0.0014,-0.02592,regime
XOM,2017-06-01,-1,2017-06-01,53.9693,2017-06-13,55.6346,regime,1.0,8,-0.03086,0.00172,-0.03257,regime
XOM,2017-07-07,-1,2017-07-07,53.8551,2017-09-07,53.577,regime,1.0,43,0.00516,0.00311,0.00206,regime
