symbol,decision_date,direction,entry_date,entry_price,exit_date,exit_price,exit_reason,confidence,holding_days,gross_pnl_pct,cost_pct,pnl_pct,note
JNJ,2015-01-05,-1,2015-01-05,76.0818,2015-02-26,75.3692,trail_stop,1.0,36,0.00937,0.00283,0.00654,trailing
JNJ,2015-02-27,1,2015-02-27,75.5584,2015-03-11,72.698,trail_stop,1.0,8,-0.03786,0.0014,-0.03926,trailing
JNJ,2015-05-15,1,2015-05-15,74.7811,2015-05-29,73.7896,trail_stop,1.0,9,-0.01326,0.0014,-0.01466,trailing
JNJ,2015-06-09,-1,2015-06-09,72.7117,2015-06-22,74.3651,trail_stop,1.0,9,-0.02274,0.00176,-0.0245,trailing
JNJ,2015-07-17,1,2015-07-17,74.5213,2015-07-28,73.044,regime,1.0,7,-0.01982,0.0014,-0.02122,trailing
JNJ,2015-08-24,-1,2015-08-24,67.7899,2015-10-06,70.3503,regime,1.0,30,-0.03777,0.00259,-0.04036,trailing
JNJ,2015-10-16,1,2015-10-16,72.8436,2015-11-16,74.7118,regime,1.0,21,0.02565,0.0014,0.02425,trailing
JNJ,2015-11-19,1,2015-11-19,76.4088,2016-01-04,75.4773,trail_stop,1.0,29,-0.01219,0.0014,-0.01359,trailing
JNJ,2016-01-08,-1,2016-01-08,74.8877,2016-01-27,76.0852,trail_stop,1.0,12,-0.01599,0.00188,-0.01787,trailing
JNJ,2016-02-01,1,2016-02-01,77.6843,2016-08-04,94.4972,regime,1.0,129,0.21643,0.0014,0.21503,trailing
JNJ,2016-08-16,-1,2016-08-16,92.8771,2016-10-11,91.4294,regime,1.0,39,0.01559,0.00295,0.01264,trailing
JNJ,2016-10-19,-1,2016-10-19,88.4892,2016-11-08,89.186,regime,1.0,14,-0.00787,0.00196,-0.00983,trailing
JNJ,2016-11-10,1,2016-11-10,92.4707,2016-11-15,88.7577,trail_stop,1.0,3,-0.04015,0.0014,-0.04155,trailing
JNJ,2016-12-01,-1,2016-12-01,85.8549,2016-12-12,88.6804,trail_stop,1.0,7,-0.03291,0.00168,-0.03459,trailing
