symbol,decision_date,direction,entry_date,entry_price,exit_date,exit_price,exit_reason,confidence,holding_days,gross_pnl_pct,cost_pct,pnl_pct,note
GOOGL,2015-01-05,-1,2015-01-05,26.1414,2015-02-13,27.1511,regime,1.0,28,-0.03862,0.00251,-0.04113,regime
GOOGL,2015-02-27,1,2015-02-27,27.6787,2015-04-02,27.1461,regime,1.0,24,-0.01924,0.0014,-0.02064,regime
GOOGL,2015-07-17,1,2015-07-17,33.7213,2015-08-24,29.7838,regime,1.0,26,-0.11676,0.0014,-0.11816,regime
GOOGL,2015-10-26,1,2015-10-26,35.7059,2016-01-11,36.2975,regime,1.0,52,0.01657,0.0014,0.01517,regime
GOOGL,2016-06-27,-1,2016-06-27,33.8448,2016-07-19,37.1862,regime,1.0,15,-0.09873,0.002,-0.10072,regime
GOOGL,2016-07-21,1,2016-07-21,37.5397,2016-11-03,38.9035,regime,1.0,74,0.03633,0.0014,0.03493,regime
GOOGL,2016-11-04,-1,2016-11-04,38.2489,2016-12-14,40.4616,regime,1.0,27,-0.05785,0.00247,-0.06032,regime
GOOGL,2017-01-24,1,2017-01-24,42.0019,2017-03-24,41.7549,regime,1.0,42,-0.00588,0.0014,-0.00728,regime
GOOGL,2017-04-25,1,2017-04-25,43.7514,2017-07-05,45.8312,regime,1.0,49,0.04754,0.0014,0.04614,regime
GOOGL,2017-10-12,1,2017-10-12,49.7806,2017-12-04,50.9687,regime,1.0,36,0.02387,0.0014,0.02247,regime
GOOGL,2017-12-19,1,2017-12-19,53.7071,2018-02-06,51.2752,regime,1.0,32,-0.04528,0.0014,-0.04668,regime
GOOGL,2018-06-19,1,2018-06-19,58.0259,2018-09-06,59.4373,regime,1.0,55,0.02432,0.0014,0.02292,regime
GOOGL,2018-10-11,-1,2018-10-11,53.5097,2018-12-04,55.1933,regime,1.0,37,-0.03146,0.00287,-0.03433,regime
GOOGL,2018-12-24,-1,2018-12-24,48.8126,2019-01-22,54.3508,regime,1.0,18,-0.11346,0.00211,-0.11557,regime
GOOGL,2019-02-05,1,2019-02-05,56.0185,2019-05-02,58.1494,regime,1.0,60,0.03804,0.0014,0.03664,regime
GOOGL,2019-05-30,-1,2019-05-30,55.5484,2019-07-08,55.832,regime,1.0,26,-0.00511,0.00243,-0.00754,regime
GOOGL,2019-07-29,1,2019-07-29,61.6157,2020-02-26,69.1772,regime,1.0,146,0.12272,0.0014,0.12132,regime
GOOGL,2020-02-28,-1,2020-02-28,63.1932,2020-04-15,61.8146,regime,1.0,32,0.02182,0.00267,0.01915,regime
GOOGL,2020-05-27,1,2020-05-27,70.418,2020-06-29,67.4594,regime,1.0,23,-0.04201,0.0014,-0.04341,regime
GOOGL,2020-07-07,1,2020-07-07,74.1933,2020-09-18,73.805,regime,1.0,52,-0.00523,0.0014,-0.00663,regime
GOOGL,2020-09-22,-1,2020-09-22,71.9216,2020-10-13,78.2041,regime,1.0,15,-0.08735,0.002,-0.08935,regime
GOOGL,2020-11-05,1,2020-11-05,87.7969,2021-05-13,110.3936,regime,1.0,129,0.25738,0.0014,0.25598,regime
GOOGL,2021-06-11,1,2021-06-11,120.9999,2021-09-29,135.8571,regime,1.0,76,0.12279,0.0014,0.12139,regime
GOOGL,2022-01-24,-1,2022-01-24,124.9454,2022-02-03,144.5111,regime,1.0,8,-0.15659,0.00172,-0.15831,regime
GOOGL,2022-04-22,-1,2022-04-22,123.9753,2022-07-08,116.2889,regime,1.0,52,0.062,0.00346,0.05854,regime
GOOGL,2022-08-15,1,2022-08-15,120.1371,2022-08-29,109.0884,regime,1.0,10,-0.09197,0.0014,-0.09337,regime
GOOGL,2022-09-16,-1,2022-09-16,101.2333,2022-10-26,95.6395,regime,1.0,28,0.05526,0.00251,0.05275,regime
GOOGL,2022-10-28,-1,2022-10-28,91.5136,2022-12-01,100.1919,regime,1.0,23,-0.09483,0.00231,-0.09714,regime
GOOGL,2023-02-03,1,2023-02-03,102.0863,2023-02-22,90.9483,regime,1.0,12,-0.1091,0.0014,-0.1105,regime
GOOGL,2023-04-10,1,2023-04-10,106.1031,2023-06-27,116.1203,regime,1.0,54,0.09441,0.0014,0.09301,regime
GOOGL,2023-07-27,1,2023-07-27,130.5906,2023-09-27,127.5161,regime,1.0,43,-0.02354,0.0014,-0.02494,regime
GOOGL,2023-10-12,1,2023-10-12,139.8938,2023-10-26,122.2595,regime,1.0,10,-0.12605,0.0014,-0.12745,regime
GOOGL,2023-10-26,-1,2023-10-26,122.2595,2023-11-24,136.8985,regime,1.0,20,-0.11974,0.00219,-0.12193,regime
GOOGL,2024-01-22,1,2024-01-22,145.8942,2024-02-29,136.1547,regime,1.0,27,-0.06676,0.0014,-0.06816,regime
