symbol,decision_date,direction,entry_date,entry_price,exit_date,exit_price,exit_reason,confidence,holding_days,gross_pnl_pct,cost_pct,pnl_pct,note
JNJ,2015-01-21,-1,2015-01-21,73.2272,2015-02-27,75.5584,regime,1.0,26,-0.03183,0.00243,-0.03427,regime
JNJ,2015-05-19,1,2015-05-19,76.013,2015-06-09,72.7117,regime,1.0,14,-0.04343,0.0014,-0.04483,regime
JNJ,2015-08-24,-1,2015-08-24,67.7899,2015-10-16,72.8436,regime,1.0,38,-0.07455,0.00291,-0.07746,regime
JNJ,2015-10-26,1,2015-10-26,74.4662,2016-01-08,74.8877,regime,1.0,51,0.00566,0.0014,0.00426,regime
JNJ,2016-01-21,-1,2016-01-21,71.8061,2016-02-01,77.6843,regime,1.0,7,-0.08186,0.00168,-0.08354,regime
JNJ,2016-02-23,1,2016-02-23,79.0328,2016-08-16,92.8771,regime,1.0,122,0.17517,0.0014,0.17377,regime
JNJ,2016-09-30,-1,2016-09-30,90.1813,2016-11-10,92.4707,regime,1.0,29,-0.02539,0.00255,-0.02794,regime
JNJ,2016-12-01,-1,2016-12-01,85.8549,2017-02-13,88.8771,regime,1.0,49,-0.0352,0.00334,-0.03855,regime
JNJ,2017-02-17,1,2017-02-17,91.1206,2017-04-19,94.758,regime,1.0,41,0.03992,0.0014,0.03852,regime
JNJ,2017-06-01,1,2017-06-01,100.2456,2017-07-12,103.1516,regime,1.0,28,0.02899,0.0014,0.02759,regime
JNJ,2017-10-12,1,2017-10-12,107.1884,2017-11-20,108.6114,regime,1.0,27,0.01328,0.0014,0.01188,regime
JNJ,2018-01-10,1,2018-01-10,113.548,2018-02-01,108.7861,regime,1.0,15,-0.04194,0.0014,-0.04334,regime
JNJ,2018-02-06,-1,2018-02-06,102.8378,2018-03-12,106.5134,regime,1.0,23,-0.03574,0.00231,-0.03805,regime
JNJ,2018-05-03,-1,2018-05-03,98.1547,2018-07-06,100.3743,regime,1.0,44,-0.02261,0.00315,-0.02576,regime
JNJ,2018-07-18,1,2018-07-18,103.3015,2018-10-12,108.5028,regime,1.0,61,0.05035,0.0014,0.04895,regime
JNJ,2018-11-08,1,2018-11-08,116.5033,2018-12-17,104.2541,regime,1.0,25,-0.10514,0.0014,-0.10654,regime
JNJ,2018-12-18,-1,2018-12-18,107.2845,2019-01-31,106.9433,regime,1.0,29,0.00318,0.00255,0.00063,regime
JNJ,2019-05-01,1,2019-05-01,115.2749,2019-05-30,108.2327,regime,1.0,20,-0.06109,0.0014,-0.06249,regime
JNJ,2019-05-30,-1,2019-05-30,108.2327,2019-06-13,116.6977,regime,1.0,10,-0.07821,0.0018,-0.08001,regime
JNJ,2019-06-13,1,2019-06-13,116.6977,2019-07-15,111.4853,regime,1.0,21,-0.04467,0.0014,-0.04607,regime
JNJ,2019-08-26,-1,2019-08-26,105.7087,2019-10-17,112.7936,regime,1.0,37,-0.06702,0.00287,-0.06989,regime
