symbol,decision_date,direction,entry_date,entry_price,exit_date,exit_price,exit_reason,confidence,holding_days,gross_pnl_pct,cost_pct,pnl_pct,note
GOOGL,2015-03-02,1,2015-03-02,28.1176,2015-03-13,27.4003,trail_stop,1.0,9,-0.02551,0.0014,-0.02691,trailing
GOOGL,2015-07-16,1,2015-07-16,29.2334,2015-08-21,32.3681,trail_stop,1.0,26,0.10723,0.0014,0.10583,trailing
GOOGL,2016-04-04,1,2016-04-04,38.1601,2016-04-22,36.8906,trail_stop,1.0,14,-0.03327,0.0014,-0.03467,trailing
GOOGL,2016-08-01,1,2016-08-01,39.0111,2016-09-12,38.9045,trail_stop,1.0,29,-0.00273,0.0014,-0.00413,trailing
GOOGL,2016-12-30,1,2016-12-30,39.8313,2017-01-30,41.226,trail_stop,1.0,19,0.03501,0.0014,0.03361,trailing
GOOGL,2017-10-12,1,2017-10-12,49.7806,2017-11-29,51.2738,trail_stop,1.0,33,0.03,0.0014,0.0286,trailing
GOOGL,2018-06-05,1,2018-06-05,57.2598,2018-06-25,55.7878,trail_stop,1.0,14,-0.02571,0.0014,-0.02711,trailing
GOOGL,2019-02-07,1,2019-02-07,55.1353,2019-03-27,58.3038,trail_stop,1.0,33,0.05747,0.0014,0.05607,trailing
GOOGL,2019-08-05,1,2019-08-05,58.1677,2019-10-02,58.8498,trail_stop,1.0,41,0.01173,0.0014,0.01033,trailing
GOOGL,2020-05-20,1,2020-05-20,68.8886,2020-06-26,68.6541,trail_stop,1.0,26,-0.0034,0.0014,-0.0048,trailing
GOOGL,2020-10-23,1,2020-10-23,80.0905,2020-10-28,74.9297,trail_stop,1.0,3,-0.06444,0.0014,-0.06584,trailing
GOOGL,2022-08-24,1,2022-08-24,112.5696,2022-08-29,108.0151,trail_stop,1.0,3,-0.04046,0.0014,-0.04186,trailing
GOOGL,2023-02-07,1,2023-02-07,102.3739,2023-02-09,95.6785,trail_stop,1.0,2,-0.0654,0.0014,-0.0668,trailing
GOOGL,2023-03-22,1,2023-03-22,103.4153,2023-06-26,117.4443,trail_stop,1.0,65,0.13566,0.0014,0.13426,trailing
GOOGL,2023-11-27,1,2023-11-27,134.9149,2023-12-04,128.8153,trail_stop,1.0,5,-0.04521,0.0014,-0.04661,trailing
GOOGL,2024-11-11,1,2024-11-11,177.5547,2024-11-21,167.7705,trail_stop,1.0,8,-0.05511,0.0014,-0.05651,trailing
GOOGL,2025-06-13,1,2025-06-13,172.0522,2025-06-23,164.8053,trail_stop,1.0,5,-0.04212,0.0014,-0.04352,trailing
GOOGL,2026-04-27,1,2026-04-27,345.98,2026-06-02,366.59,trail_stop,1.0,25,0.05957,0.0014,0.05817,trailing
