symbol,decision_date,direction,entry_date,entry_price,exit_date,exit_price,exit_reason,confidence,holding_days,gross_pnl_pct,cost_pct,pnl_pct,note
XOM,2015-10-26,1,2015-10-26,52.0873,2015-11-12,51.2998,trail_stop,1.0,13,-0.01512,0.0014,-0.01652,trailing
XOM,2016-02-22,1,2016-02-22,53.0054,2016-06-27,57.123,trail_stop,1.0,88,0.07768,0.0014,0.07628,trailing
XOM,2016-12-07,1,2016-12-07,57.7657,2017-01-05,58.4522,trail_stop,1.0,19,0.01188,0.0014,0.01048,trailing
XOM,2017-06-01,1,2017-06-01,53.9693,2017-06-05,53.3447,regime,1.0,2,-0.01157,0.0014,-0.01297,trailing
XOM,2017-06-13,1,2017-06-13,55.6346,2017-07-06,53.9822,trail_stop,1.0,16,-0.0297,0.0014,-0.0311,trailing
XOM,2017-10-02,1,2017-10-02,55.1229,2017-11-16,55.0446,trail_stop,1.0,33,-0.00142,0.0014,-0.00282,trailing
XOM,2018-05-17,1,2018-05-17,57.4001,2018-05-25,54.8218,trail_stop,1.0,6,-0.04492,0.0014,-0.04632,trailing
XOM,2018-09-13,1,2018-09-13,58.6624,2018-10-11,58.8977,trail_stop,1.0,20,0.00401,0.0014,0.00261,trailing
XOM,2019-02-28,1,2019-02-28,57.2488,2019-04-26,57.8397,trail_stop,1.0,40,0.01032,0.0014,0.00892,trailing
XOM,2019-12-20,1,2019-12-20,52.1704,2020-01-21,50.9339,trail_stop,1.0,19,-0.0237,0.0014,-0.0251,trailing
XOM,2020-06-15,1,2020-06-15,35.019,2020-07-31,31.6666,trail_stop,1.0,33,-0.09573,0.0014,-0.09713,trailing
XOM,2020-12-04,1,2020-12-04,32.878,2021-01-26,37.1601,trail_stop,1.0,34,0.13024,0.0014,0.12884,trailing
XOM,2021-10-12,1,2021-10-12,52.0058,2021-11-19,52.9476,trail_stop,1.0,28,0.01811,0.0014,0.01671,trailing
XOM,2022-08-03,1,2022-08-03,82.5578,2022-09-16,81.2913,trail_stop,1.0,31,-0.01534,0.0014,-0.01674,trailing
XOM,2023-04-17,1,2023-04-17,103.5737,2023-05-02,100.1491,trail_stop,1.0,11,-0.03306,0.0014,-0.03446,trailing
XOM,2023-08-22,1,2023-08-22,99.5649,2023-10-04,103.2826,trail_stop,1.0,30,0.03734,0.0014,0.03594,trailing
XOM,2024-02-27,1,2024-02-27,97.2383,2024-04-17,108.9306,trail_stop,1.0,35,0.12024,0.0014,0.11884,trailing
XOM,2024-07-19,1,2024-07-19,111.0542,2024-07-30,108.9659,regime,1.0,7,-0.0188,0.0014,-0.0202,trailing
XOM,2024-07-31,1,2024-07-31,112.0375,2024-09-06,106.0643,trail_stop,1.0,26,-0.05331,0.0014,-0.05471,trailing
XOM,2024-10-03,1,2024-10-03,115.0729,2024-10-28,110.2491,trail_stop,1.0,17,-0.04192,0.0014,-0.04332,trailing
XOM,2025-03-27,1,2025-03-27,113.4072,2025-04-03,108.0963,trail_stop,1.0,5,-0.04683,0.0014,-0.04823,trailing
XOM,2025-06-30,1,2025-06-30,105.2839,2025-07-18,104.9012,trail_stop,1.0,13,-0.00364,0.0014,-0.00504,trailing
