symbol,decision_date,direction,entry_date,entry_price,exit_date,exit_price,exit_reason,confidence,holding_days,gross_pnl_pct,cost_pct,pnl_pct,note
XOM,2015-01-05,-1,2015-01-05,56.6962,2015-02-13,57.5057,trail_stop,1.0,28,-0.01428,0.00251,-0.01679,trailing
XOM,2015-10-26,1,2015-10-26,52.0873,2015-11-12,51.2998,trail_stop,1.0,13,-0.01512,0.0014,-0.01652,trailing
XOM,2016-01-19,-1,2016-01-19,49.6189,2016-02-08,51.0451,trail_stop,1.0,14,-0.02874,0.00196,-0.0307,trailing
XOM,2016-02-22,1,2016-02-22,53.0054,2016-06-27,57.123,trail_stop,1.0,88,0.07768,0.0014,0.07628,trailing
XOM,2016-08-19,-1,2016-08-19,57.9121,2016-09-28,56.4965,trail_stop,1.0,27,0.02444,0.00247,0.02197,trailing
XOM,2016-12-07,1,2016-12-07,57.7657,2017-01-05,58.4522,trail_stop,1.0,19,0.01188,0.0014,0.01048,trailing
XOM,2017-02-02,-1,2017-02-02,54.852,2017-03-02,55.6439,trail_stop,1.0,19,-0.01444,0.00215,-0.01659,trailing
XOM,2017-06-01,1,2017-06-01,53.9693,2017-06-05,53.3447,regime,1.0,2,-0.01157,0.0014,-0.01297,trailing
XOM,2017-06-05,-1,2017-06-05,53.3447,2017-06-09,54.9348,trail_stop,1.0,4,-0.02981,0.00156,-0.03137,trailing
XOM,2017-06-13,1,2017-06-13,55.6346,2017-07-06,53.9822,trail_stop,1.0,16,-0.0297,0.0014,-0.0311,trailing
XOM,2017-07-14,-1,2017-07-14,54.3923,2017-09-06,53.0864,trail_stop,1.0,37,0.02401,0.00287,0.02114,trailing
XOM,2017-10-02,1,2017-10-02,55.1229,2017-11-16,55.0446,trail_stop,1.0,33,-0.00142,0.0014,-0.00282,trailing
XOM,2018-02-20,-1,2018-02-20,52.863,2018-04-10,53.0067,trail_stop,1.0,34,-0.00272,0.00275,-0.00547,trailing
XOM,2018-05-17,1,2018-05-17,57.4001,2018-05-25,54.8218,trail_stop,1.0,6,-0.04492,0.0014,-0.04632,trailing
XOM,2018-08-24,-1,2018-08-24,56.1014,2018-09-10,58.3249,trail_stop,1.0,10,-0.03963,0.0018,-0.04143,trailing
XOM,2018-09-13,1,2018-09-13,58.6624,2018-10-11,58.8977,trail_stop,1.0,20,0.00401,0.0014,0.00261,trailing
XOM,2018-11-02,-1,2018-11-02,57.6817,2018-12-03,57.6909,trail_stop,1.0,20,-0.00016,0.00219,-0.00235,trailing
XOM,2019-02-28,1,2019-02-28,57.2488,2019-04-26,57.8397,trail_stop,1.0,40,0.01032,0.0014,0.00892,trailing
XOM,2019-05-28,-1,2019-05-28,54.1079,2019-06-06,53.9668,trail_stop,1.0,7,0.00261,0.00168,0.00093,trailing
XOM,2019-12-20,1,2019-12-20,52.1704,2020-01-21,50.9339,trail_stop,1.0,19,-0.0237,0.0014,-0.0251,trailing
XOM,2020-01-27,-1,2020-01-27,48.8547,2020-03-03,40.9835,trail_stop,1.0,25,0.16111,0.00239,0.15872,trailing
XOM,2020-06-15,1,2020-06-15,35.019,2020-07-31,31.6666,trail_stop,1.0,33,-0.09573,0.0014,-0.09713,trailing
XOM,2020-08-14,-1,2020-08-14,33.5444,2020-11-09,28.6781,trail_stop,1.0,60,0.14507,0.00378,0.14129,trailing
XOM,2020-12-04,1,2020-12-04,32.878,2021-01-26,37.1601,trail_stop,1.0,34,0.13024,0.0014,0.12884,trailing
XOM,2021-08-02,-1,2021-08-02,47.8855,2021-09-15,47.6347,trail_stop,1.0,31,0.00524,0.00263,0.00261,trailing
XOM,2021-10-12,1,2021-10-12,52.0058,2021-11-19,52.9476,trail_stop,1.0,28,0.01811,0.0014,0.01671,trailing
XOM,2022-07-18,-1,2022-07-18,75.7028,2022-07-29,84.0805,trail_stop,1.0,9,-0.11067,0.00176,-0.11242,trailing
XOM,2022-08-03,1,2022-08-03,82.5578,2022-09-16,81.2913,trail_stop,1.0,31,-0.01534,0.0014,-0.01674,trailing
XOM,2023-03-17,-1,2023-03-17,90.22,2023-03-31,98.3631,trail_stop,1.0,10,-0.09026,0.0018,-0.09206,trailing
XOM,2023-04-17,1,2023-04-17,103.5737,2023-05-02,100.1491,trail_stop,1.0,11,-0.03306,0.0014,-0.03446,trailing
XOM,2023-05-18,-1,2023-05-18,94.5761,2023-06-08,98.7023,trail_stop,1.0,14,-0.04363,0.00196,-0.04558,trailing
XOM,2023-08-22,1,2023-08-22,99.5649,2023-10-04,103.2826,trail_stop,1.0,30,0.03734,0.0014,0.03594,trailing
XOM,2023-11-07,-1,2023-11-07,95.2784,2024-01-04,95.7907,trail_stop,1.0,39,-0.00538,0.00295,-0.00832,trailing
XOM,2024-02-27,1,2024-02-27,97.2383,2024-04-17,108.9306,trail_stop,1.0,35,0.12024,0.0014,0.11884,trailing
XOM,2024-07-02,-1,2024-07-02,108.5351,2024-07-17,109.7258,trail_stop,1.0,10,-0.01097,0.0018,-0.01277,trailing
XOM,2024-07-19,1,2024-07-19,111.0542,2024-07-30,108.9659,regime,1.0,7,-0.0188,0.0014,-0.0202,trailing
XOM,2024-07-30,-1,2024-07-30,108.9659,2024-07-31,112.0375,regime,1.0,1,-0.02819,0.00144,-0.02963,trailing
XOM,2024-07-31,1,2024-07-31,112.0375,2024-09-06,106.0643,trail_stop,1.0,26,-0.05331,0.0014,-0.05471,trailing
XOM,2024-09-26,-1,2024-09-26,104.9155,2024-10-01,112.2928,trail_stop,1.0,3,-0.07032,0.00152,-0.07184,trailing
XOM,2024-10-03,1,2024-10-03,115.0729,2024-10-28,110.2491,trail_stop,1.0,17,-0.04192,0.0014,-0.04332,trailing
XOM,2024-12-17,-1,2024-12-17,102.0658,2025-01-15,105.7783,trail_stop,1.0,18,-0.03637,0.00211,-0.03849,trailing
XOM,2025-03-27,1,2025-03-27,113.4072,2025-04-03,108.0963,trail_stop,1.0,5,-0.04683,0.0014,-0.04823,trailing
XOM,2025-04-22,-1,2025-04-22,101.9225,2025-06-10,103.7867,trail_stop,1.0,34,-0.01829,0.00275,-0.02104,trailing
XOM,2025-06-30,1,2025-06-30,105.2839,2025-07-18,104.9012,trail_stop,1.0,13,-0.00364,0.0014,-0.00504,trailing
