symbol,decision_date,direction,entry_date,entry_price,exit_date,exit_price,exit_reason,confidence,holding_days,gross_pnl_pct,cost_pct,pnl_pct,note
JNJ,2015-01-05,1,2015-01-05,76.0818,2015-02-25,74.0185,regime,1.0,35,-0.02712,0.0014,-0.02852,regime
JNJ,2015-12-01,1,2015-12-01,76.2748,2016-12-20,89.4168,regime,1.0,266,0.1723,0.0014,0.1709,regime
JNJ,2017-03-13,1,2017-03-13,97.6528,2018-03-27,101.1877,regime,1.0,262,0.0362,0.0014,0.0348,regime
JNJ,2018-09-11,1,2018-09-11,111.1185,2019-02-22,109.9169,regime,1.0,112,-0.01081,0.0014,-0.01221,regime
JNJ,2019-03-13,1,2019-03-13,114.1626,2019-08-22,108.3645,regime,1.0,113,-0.05079,0.0014,-0.05219,regime
JNJ,2019-12-17,1,2019-12-17,119.456,2021-11-09,142.1157,regime,1.0,478,0.18969,0.0014,0.18829,regime
JNJ,2022-01-11,1,2022-01-11,152.1777,2022-09-12,149.003,regime,1.0,167,-0.02086,0.0014,-0.02226,regime
JNJ,2022-12-14,1,2022-12-14,161.2227,2023-02-27,142.2595,regime,1.0,49,-0.11762,0.0014,-0.11902,regime
JNJ,2023-08-11,1,2023-08-11,158.0189,2023-10-27,137.028,regime,1.0,54,-0.13284,0.0014,-0.13424,regime
JNJ,2024-02-13,1,2024-02-13,146.6366,2024-04-15,139.0616,regime,1.0,42,-0.05166,0.0014,-0.05306,regime
JNJ,2024-08-20,1,2024-08-20,151.1741,2025-01-02,139.3698,regime,1.0,93,-0.07808,0.0014,-0.07948,regime
JNJ,2025-03-13,1,2025-03-13,158.0907,2025-06-03,151.0264,regime,1.0,56,-0.04469,0.0014,-0.04609,regime
JNJ,2025-07-10,1,2025-07-10,152.2948,2026-06-05,232.77,final,1.0,228,0.52842,0.0014,0.52702,regime
