symbol,decision_date,direction,entry_date,entry_price,exit_date,exit_price,exit_reason,confidence,holding_days,gross_pnl_pct,cost_pct,pnl_pct,note
JNJ,2015-01-05,1,2015-01-05,76.0818,2015-01-20,73.9482,trail_stop,1.0,10,-0.02804,0.0014,-0.02944,trailing
JNJ,2015-12-01,1,2015-12-01,76.2748,2016-01-04,75.4773,trail_stop,1.0,22,-0.01046,0.0014,-0.01186,trailing
JNJ,2017-03-13,1,2017-03-13,97.6528,2017-03-29,96.6926,trail_stop,1.0,12,-0.00983,0.0014,-0.01123,trailing
JNJ,2018-09-11,1,2018-09-11,111.1185,2018-09-26,111.6381,trail_stop,1.0,11,0.00468,0.0014,0.00328,trailing
JNJ,2019-03-13,1,2019-03-13,114.1626,2019-04-04,110.7773,trail_stop,1.0,16,-0.02965,0.0014,-0.03105,trailing
JNJ,2019-12-17,1,2019-12-17,119.456,2020-01-07,118.108,trail_stop,1.0,13,-0.01128,0.0014,-0.01268,trailing
JNJ,2022-01-11,1,2022-01-11,152.1777,2022-01-18,146.9241,trail_stop,1.0,4,-0.03452,0.0014,-0.03592,trailing
JNJ,2022-12-14,1,2022-12-14,161.2227,2023-01-11,157.3193,trail_stop,1.0,18,-0.02421,0.0014,-0.02561,trailing
JNJ,2023-08-11,1,2023-08-11,158.0189,2023-08-23,150.4966,trail_stop,1.0,8,-0.0476,0.0014,-0.049,trailing
JNJ,2024-02-13,1,2024-02-13,146.6366,2024-03-18,146.8964,trail_stop,1.0,23,0.00177,0.0014,0.00037,trailing
JNJ,2024-08-20,1,2024-08-20,151.1741,2024-09-24,153.8126,trail_stop,1.0,24,0.01745,0.0014,0.01605,trailing
JNJ,2025-03-13,1,2025-03-13,158.0907,2025-04-01,153.9817,trail_stop,1.0,13,-0.02599,0.0014,-0.02739,trailing
JNJ,2025-07-10,1,2025-07-10,152.2948,2025-12-23,201.2523,trail_stop,1.0,116,0.32147,0.0014,0.32007,trailing
