symbol,decision_date,direction,entry_date,entry_price,exit_date,exit_price,exit_reason,confidence,holding_days,gross_pnl_pct,cost_pct,pnl_pct,note
JNJ,2015-01-05,1,2015-01-05,76.0818,2015-01-20,73.9482,trail_stop,1.0,10,-0.02804,0.0014,-0.02944,trailing
JNJ,2015-02-25,-1,2015-02-25,74.0185,2015-03-20,75.0561,trail_stop,1.0,17,-0.01402,0.00207,-0.01609,trailing
JNJ,2015-12-01,1,2015-12-01,76.2748,2016-01-04,75.4773,trail_stop,1.0,22,-0.01046,0.0014,-0.01186,trailing
JNJ,2016-12-20,-1,2016-12-20,89.4168,2017-02-10,89.0445,trail_stop,1.0,35,0.00416,0.00279,0.00137,trailing
JNJ,2017-03-13,1,2017-03-13,97.6528,2017-03-29,96.6926,trail_stop,1.0,12,-0.00983,0.0014,-0.01123,trailing
JNJ,2018-03-27,-1,2018-03-27,101.1877,2018-06-08,100.0049,trail_stop,1.0,51,0.01169,0.00342,0.00827,trailing
JNJ,2018-09-11,1,2018-09-11,111.1185,2018-09-26,111.6381,trail_stop,1.0,11,0.00468,0.0014,0.00328,trailing
JNJ,2019-02-22,-1,2019-02-22,109.9169,2019-03-04,113.6635,trail_stop,1.0,6,-0.03409,0.00164,-0.03572,trailing
JNJ,2019-03-13,1,2019-03-13,114.1626,2019-04-04,110.7773,trail_stop,1.0,16,-0.02965,0.0014,-0.03105,trailing
JNJ,2019-08-22,-1,2019-08-22,108.3645,2019-09-24,110.1413,trail_stop,1.0,22,-0.0164,0.00227,-0.01867,trailing
JNJ,2019-12-17,1,2019-12-17,119.456,2020-01-07,118.108,trail_stop,1.0,13,-0.01128,0.0014,-0.01268,trailing
JNJ,2021-11-09,-1,2021-11-09,142.1157,2021-12-06,143.4698,trail_stop,1.0,18,-0.00953,0.00211,-0.01164,trailing
JNJ,2022-01-11,1,2022-01-11,152.1777,2022-01-18,146.9241,trail_stop,1.0,4,-0.03452,0.0014,-0.03592,trailing
JNJ,2022-09-12,-1,2022-09-12,149.003,2022-10-21,151.5056,trail_stop,1.0,29,-0.0168,0.00255,-0.01935,trailing
JNJ,2022-12-14,1,2022-12-14,161.2227,2023-01-11,157.3193,trail_stop,1.0,18,-0.02421,0.0014,-0.02561,trailing
JNJ,2023-02-27,-1,2023-02-27,142.2595,2023-04-04,143.5072,trail_stop,1.0,26,-0.00877,0.00243,-0.0112,trailing
JNJ,2023-08-11,1,2023-08-11,158.0189,2023-08-23,150.4966,trail_stop,1.0,8,-0.0476,0.0014,-0.049,trailing
JNJ,2023-10-27,-1,2023-10-27,137.028,2023-11-22,141.2188,trail_stop,1.0,18,-0.03058,0.00211,-0.0327,trailing
JNJ,2024-02-13,1,2024-02-13,146.6366,2024-03-18,146.8964,trail_stop,1.0,23,0.00177,0.0014,0.00037,trailing
JNJ,2024-04-15,-1,2024-04-15,139.0616,2024-05-01,141.7884,trail_stop,1.0,12,-0.01961,0.00188,-0.02148,trailing
JNJ,2024-08-20,1,2024-08-20,151.1741,2024-09-24,153.8126,trail_stop,1.0,24,0.01745,0.0014,0.01605,trailing
JNJ,2025-01-02,-1,2025-01-02,139.3698,2025-01-21,142.6675,trail_stop,1.0,11,-0.02366,0.00184,-0.0255,trailing
JNJ,2025-03-13,1,2025-03-13,158.0907,2025-04-01,153.9817,trail_stop,1.0,13,-0.02599,0.0014,-0.02739,trailing
JNJ,2025-06-03,-1,2025-06-03,151.0264,2025-07-01,152.3289,trail_stop,1.0,19,-0.00862,0.00215,-0.01078,trailing
JNJ,2025-07-10,1,2025-07-10,152.2948,2025-12-23,201.2523,trail_stop,1.0,116,0.32147,0.0014,0.32007,trailing
