symbol,decision_date,direction,entry_date,entry_price,exit_date,exit_price,exit_reason,confidence,holding_days,gross_pnl_pct,cost_pct,pnl_pct,note
JNJ,2015-01-05,1,2015-01-05,76.0818,2015-01-20,73.9482,trail_stop,1.0,10,-0.02804,0.0014,-0.02944,trailing
JNJ,2015-02-10,-1,2015-02-10,72.9578,2015-02-26,75.3692,trail_stop,1.0,11,-0.03305,0.00184,-0.03489,trailing
JNJ,2015-02-27,1,2015-02-27,75.5584,2015-03-02,75.1698,regime,1.0,1,-0.00514,0.0014,-0.00654,trailing
JNJ,2015-03-02,-1,2015-03-02,75.1698,2015-03-03,75.6024,regime,1.0,1,-0.00576,0.00144,-0.00719,trailing
JNJ,2015-03-03,1,2015-03-03,75.6024,2015-03-04,74.8838,regime,1.0,1,-0.00951,0.0014,-0.01091,trailing
JNJ,2015-03-04,-1,2015-03-04,74.8838,2015-03-20,75.0561,trail_stop,1.0,12,-0.0023,0.00188,-0.00418,trailing
JNJ,2015-04-08,1,2015-04-08,73.2119,2015-04-17,72.8672,regime,1.0,7,-0.00471,0.0014,-0.00611,trailing
JNJ,2015-04-17,-1,2015-04-17,72.8672,2015-05-18,75.1184,trail_stop,1.0,21,-0.03089,0.00223,-0.03313,trailing
JNJ,2015-07-14,1,2015-07-14,73.3173,2015-07-15,73.6867,regime,1.0,1,0.00504,0.0014,0.00364,trailing
JNJ,2015-07-15,-1,2015-07-15,73.6867,2015-07-17,74.5213,regime,1.0,2,-0.01133,0.00148,-0.01281,trailing
JNJ,2015-07-17,1,2015-07-17,74.5213,2015-07-20,74.2333,regime,1.0,1,-0.00387,0.0014,-0.00527,trailing
JNJ,2015-07-20,-1,2015-07-20,74.2333,2015-07-22,74.1668,regime,1.0,2,0.0009,0.00148,-0.00058,trailing
JNJ,2015-07-22,1,2015-07-22,74.1668,2015-07-23,74.2333,regime,1.0,1,0.0009,0.0014,-0.0005,trailing
JNJ,2015-07-23,-1,2015-07-23,74.2333,2015-07-24,73.6793,regime,1.0,1,0.00746,0.00144,0.00602,trailing
JNJ,2015-07-24,1,2015-07-24,73.6793,2015-07-27,73.1031,regime,1.0,1,-0.00782,0.0014,-0.00922,trailing
JNJ,2015-07-27,-1,2015-07-27,73.1031,2015-07-31,74.115,regime,1.0,4,-0.01384,0.00156,-0.0154,trailing
JNJ,2015-07-31,1,2015-07-31,74.115,2015-08-10,73.5463,regime,1.0,6,-0.00767,0.0014,-0.00907,trailing
JNJ,2015-08-10,-1,2015-08-10,73.5463,2015-08-11,73.1622,regime,1.0,1,0.00522,0.00144,0.00378,trailing
JNJ,2015-08-11,1,2015-08-11,73.1622,2015-08-12,72.6821,regime,1.0,1,-0.00656,0.0014,-0.00796,trailing
JNJ,2015-08-12,-1,2015-08-12,72.6821,2015-10-12,71.6842,trail_stop,1.0,42,0.01373,0.00307,0.01066,trailing
JNJ,2015-10-23,1,2015-10-23,74.3397,2015-11-09,75.4636,regime,1.0,11,0.01512,0.0014,0.01372,trailing
JNJ,2015-11-09,-1,2015-11-09,75.4636,2015-11-12,75.2775,regime,1.0,3,0.00247,0.00152,0.00095,trailing
JNJ,2015-11-12,1,2015-11-12,75.2775,2015-11-16,74.7118,regime,1.0,2,-0.00751,0.0014,-0.00891,trailing
JNJ,2015-11-16,-1,2015-11-16,74.7118,2015-11-17,74.7118,regime,1.0,1,0.0,0.00144,-0.00144,trailing
JNJ,2015-11-17,1,2015-11-17,74.7118,2016-01-04,75.4773,trail_stop,1.0,31,0.01025,0.0014,0.00885,trailing
JNJ,2016-01-11,-1,2016-01-11,73.6581,2016-01-15,72.256,regime,1.0,4,0.01904,0.00156,0.01748,trailing
JNJ,2016-01-15,1,2016-01-15,72.256,2016-01-20,72.061,regime,1.0,2,-0.0027,0.0014,-0.0041,trailing
JNJ,2016-01-20,-1,2016-01-20,72.061,2016-01-27,76.0921,trail_stop,1.0,5,-0.05594,0.0016,-0.05754,trailing
JNJ,2016-01-27,1,2016-01-27,75.3451,2016-08-15,93.0407,trail_stop,1.0,139,0.23486,0.0014,0.23346,trailing
JNJ,2016-11-23,-1,2016-11-23,86.5411,2016-12-12,88.6804,trail_stop,1.0,12,-0.02472,0.00188,-0.0266,trailing
JNJ,2016-12-13,1,2016-12-13,89.0698,2016-12-19,89.4862,regime,1.0,4,0.00467,0.0014,0.00327,trailing
JNJ,2016-12-19,-1,2016-12-19,89.4862,2017-02-10,89.0445,trail_stop,1.0,36,0.00494,0.00283,0.00211,trailing
JNJ,2017-02-17,1,2017-02-17,91.1206,2017-03-29,96.6926,trail_stop,1.0,27,0.06115,0.0014,0.05975,trailing
JNJ,2018-02-06,-1,2018-02-06,102.8378,2018-02-07,104.3249,regime,1.0,1,-0.01446,0.00144,-0.0159,trailing
JNJ,2018-02-07,1,2018-02-07,104.3249,2018-02-08,103.5497,regime,1.0,1,-0.00743,0.0014,-0.00883,trailing
JNJ,2018-02-08,-1,2018-02-08,103.5497,2018-02-20,105.1001,regime,1.0,7,-0.01497,0.00168,-0.01665,trailing
JNJ,2018-02-20,1,2018-02-20,105.1001,2018-02-21,103.4627,regime,1.0,1,-0.01558,0.0014,-0.01698,trailing
JNJ,2018-02-21,-1,2018-02-21,103.4627,2018-02-26,104.8496,regime,1.0,3,-0.01341,0.00152,-0.01492,trailing
JNJ,2018-02-26,1,2018-02-26,104.8496,2018-03-02,101.0285,regime,1.0,4,-0.03644,0.0014,-0.03784,trailing
JNJ,2018-03-02,-1,2018-03-02,101.0285,2018-03-12,106.7844,trail_stop,1.0,6,-0.05697,0.00164,-0.05861,trailing
JNJ,2018-03-12,1,2018-03-12,106.5134,2018-03-13,106.5134,regime,1.0,1,0.0,0.0014,-0.0014,trailing
JNJ,2018-03-13,-1,2018-03-13,106.5134,2018-03-14,107.6597,regime,1.0,1,-0.01076,0.00144,-0.0122,trailing
JNJ,2018-03-14,1,2018-03-14,107.6597,2018-03-22,101.7291,trail_stop,1.0,6,-0.05509,0.0014,-0.05649,trailing
JNJ,2018-03-23,-1,2018-03-23,101.6017,2018-06-08,100.0049,trail_stop,1.0,53,0.01572,0.0035,0.01221,trailing
JNJ,2018-07-30,1,2018-07-30,105.6834,2018-08-10,105.2102,regime,1.0,9,-0.00448,0.0014,-0.00588,trailing
JNJ,2018-08-10,-1,2018-08-10,105.2102,2018-08-13,104.8333,regime,1.0,1,0.00358,0.00144,0.00214,trailing
JNJ,2018-08-13,1,2018-08-13,104.8333,2018-09-26,111.6381,trail_stop,1.0,31,0.06491,0.0014,0.06351,trailing
