symbol,decision_date,direction,entry_date,entry_price,exit_date,exit_price,exit_reason,confidence,holding_days,gross_pnl_pct,cost_pct,pnl_pct,note
JNJ,2015-01-05,1,2015-01-05,76.0818,2015-01-06,75.9798,regime,1.0,1,-0.00134,0.0014,-0.00274,regime
JNJ,2015-01-07,1,2015-01-07,75.6667,2015-01-22,74.5598,regime,1.0,10,-0.01463,0.0014,-0.01603,regime
JNJ,2015-01-23,1,2015-01-23,74.9604,2015-01-26,74.1302,regime,1.0,1,-0.01107,0.0014,-0.01247,regime
JNJ,2015-04-27,1,2015-04-27,74.1798,2015-04-28,73.6592,regime,1.0,1,-0.00702,0.0014,-0.00842,regime
JNJ,2015-04-29,1,2015-04-29,73.7032,2015-05-01,73.0505,regime,1.0,2,-0.00885,0.0014,-0.01025,regime
JNJ,2015-05-07,1,2015-05-07,72.5519,2015-05-26,74.7725,regime,1.0,12,0.03061,0.0014,0.02921,regime
JNJ,2015-06-03,1,2015-06-03,74.1003,2015-06-09,72.7117,regime,1.0,4,-0.01874,0.0014,-0.02014,regime
JNJ,2015-06-12,1,2015-06-12,73.0367,2015-06-15,72.202,regime,1.0,1,-0.01143,0.0014,-0.01283,regime
JNJ,2015-06-22,1,2015-06-22,74.3071,2015-06-25,73.4946,regime,1.0,3,-0.01093,0.0014,-0.01233,regime
JNJ,2015-06-29,1,2015-06-29,73.1105,2015-06-30,72.7043,regime,1.0,1,-0.00556,0.0014,-0.00696,regime
JNJ,2015-07-14,1,2015-07-14,73.3173,2015-07-22,74.1668,regime,1.0,6,0.01159,0.0014,0.01019,regime
JNJ,2015-07-23,1,2015-07-23,74.2333,2015-07-27,73.1031,regime,1.0,2,-0.01522,0.0014,-0.01662,regime
JNJ,2015-07-30,1,2015-07-30,73.7162,2015-08-05,74.285,regime,1.0,4,0.00772,0.0014,0.00632,regime
JNJ,2015-08-06,1,2015-08-06,74.2259,2015-08-07,73.1401,regime,1.0,1,-0.01463,0.0014,-0.01603,regime
JNJ,2015-10-21,1,2015-10-21,72.6725,2015-10-22,72.8287,regime,1.0,1,0.00215,0.0014,0.00075,regime
JNJ,2015-10-23,1,2015-10-23,74.3397,2016-01-14,72.8033,regime,1.0,56,-0.02067,0.0014,-0.02207,regime
JNJ,2016-01-15,1,2016-01-15,72.256,2016-01-21,71.8061,regime,1.0,3,-0.00623,0.0014,-0.00763,regime
JNJ,2016-01-27,1,2016-01-27,75.3451,2016-09-27,90.6484,regime,1.0,169,0.20311,0.0014,0.20171,regime
JNJ,2016-11-10,1,2016-11-10,92.4707,2016-11-11,91.4906,regime,1.0,1,-0.0106,0.0014,-0.012,regime
JNJ,2017-01-18,1,2017-01-18,88.561,2017-01-25,86.2944,regime,1.0,5,-0.02559,0.0014,-0.02699,regime
JNJ,2017-02-14,1,2017-02-14,89.0005,2017-09-06,102.6285,regime,1.0,141,0.15312,0.0014,0.15172,regime
JNJ,2017-09-08,1,2017-09-08,103.7764,2017-09-11,103.2811,regime,1.0,1,-0.00477,0.0014,-0.00617,regime
JNJ,2017-09-12,1,2017-09-12,105.2151,2017-09-13,104.3031,regime,1.0,1,-0.00867,0.0014,-0.01007,regime
JNJ,2017-09-15,1,2017-09-15,105.9698,2017-09-20,104.7591,regime,1.0,3,-0.01143,0.0014,-0.01283,regime
JNJ,2017-10-04,1,2017-10-04,104.0909,2018-02-01,108.7861,regime,1.0,82,0.04511,0.0014,0.04371,regime
JNJ,2018-02-02,1,2018-02-02,109.9647,2018-02-05,108.0347,regime,1.0,1,-0.01755,0.0014,-0.01895,regime
JNJ,2018-07-18,1,2018-07-18,103.3015,2018-07-24,102.0424,regime,1.0,4,-0.01219,0.0014,-0.01359,regime
JNJ,2018-07-25,1,2018-07-25,103.5662,2018-12-17,104.2541,regime,1.0,100,0.00664,0.0014,0.00524,regime
JNJ,2019-03-15,1,2019-03-15,112.8623,2019-05-29,111.897,regime,1.0,51,-0.00855,0.0014,-0.00995,regime
JNJ,2019-06-10,1,2019-06-10,114.1286,2019-07-15,111.4853,regime,1.0,24,-0.02316,0.0014,-0.02456,regime
JNJ,2019-10-14,1,2019-10-14,108.9774,2019-10-21,106.7457,regime,1.0,5,-0.02048,0.0014,-0.02188,regime
JNJ,2019-10-31,1,2019-10-31,109.8236,2019-11-05,108.2888,regime,1.0,3,-0.01397,0.0014,-0.01537,regime
JNJ,2019-11-08,1,2019-11-08,108.9276,2020-03-02,113.3073,regime,1.0,76,0.04021,0.0014,0.03881,regime
JNJ,2020-03-03,1,2020-03-03,117.6956,2020-03-04,115.7453,regime,1.0,1,-0.01657,0.0014,-0.01797,regime
JNJ,2020-03-05,1,2020-03-05,118.3682,2020-03-10,117.6704,regime,1.0,3,-0.00589,0.0014,-0.00729,regime
JNJ,2020-03-11,1,2020-03-11,116.0899,2020-03-12,107.0274,regime,1.0,1,-0.07806,0.0014,-0.07946,regime
JNJ,2020-04-17,1,2020-04-17,127.7754,2020-05-01,125.783,regime,1.0,10,-0.01559,0.0014,-0.01699,regime
JNJ,2020-05-18,1,2020-05-18,128.1958,2020-07-10,120.8394,regime,1.0,37,-0.05738,0.0014,-0.05878,regime
JNJ,2020-07-17,1,2020-07-17,126.9766,2020-07-20,127.1713,regime,1.0,1,0.00153,0.0014,0.00013,regime
JNJ,2020-08-04,1,2020-08-04,124.4286,2020-08-05,126.2148,regime,1.0,1,0.01435,0.0014,0.01295,regime
JNJ,2020-08-06,1,2020-08-06,125.6222,2020-08-12,124.8942,regime,1.0,4,-0.00579,0.0014,-0.00719,regime
JNJ,2020-08-13,1,2020-08-13,125.7407,2020-10-14,126.8162,regime,1.0,43,0.00855,0.0014,0.00715,regime
JNJ,2020-11-11,1,2020-11-11,127.1144,2020-11-12,125.7851,regime,1.0,1,-0.01046,0.0014,-0.01186,regime
JNJ,2020-12-03,1,2020-12-03,127.0281,2021-04-14,136.2731,regime,1.0,89,0.07278,0.0014,0.07138,regime
JNJ,2021-04-15,1,2021-04-15,138.7684,2021-04-16,139.3037,regime,1.0,1,0.00386,0.0014,0.00246,regime
JNJ,2021-04-19,1,2021-04-19,140.3052,2021-04-23,142.0579,regime,1.0,4,0.01249,0.0014,0.01109,regime
JNJ,2021-04-28,1,2021-04-28,140.6161,2021-06-23,142.2145,regime,1.0,39,0.01137,0.0014,0.00997,regime
JNJ,2021-06-28,1,2021-06-28,142.8661,2021-09-28,142.5439,regime,1.0,64,-0.00225,0.0014,-0.00365,regime
JNJ,2021-12-09,1,2021-12-09,144.4277,2022-02-25,141.6541,regime,1.0,53,-0.0192,0.0014,-0.0206,regime
JNJ,2022-02-28,1,2022-02-28,144.195,2022-06-10,153.4081,regime,1.0,72,0.06389,0.0014,0.06249,regime
JNJ,2022-06-24,1,2022-06-24,161.0798,2022-06-30,157.587,regime,1.0,4,-0.02168,0.0014,-0.02308,regime
JNJ,2022-07-01,1,2022-07-01,158.1127,2022-07-06,158.6652,regime,1.0,2,0.00349,0.0014,0.00209,regime
JNJ,2022-10-27,1,2022-10-27,154.6003,2022-10-28,155.1834,regime,1.0,1,0.00377,0.0014,0.00237,regime
JNJ,2022-10-31,1,2022-10-31,156.5468,2023-01-23,152.6641,regime,1.0,56,-0.0248,0.0014,-0.0262,regime
JNJ,2023-04-27,1,2023-04-27,148.1245,2023-05-01,148.761,regime,1.0,2,0.0043,0.0014,0.0029,regime
JNJ,2023-05-03,1,2023-05-03,150.5341,2023-05-05,148.0699,regime,1.0,2,-0.01637,0.0014,-0.01777,regime
JNJ,2023-05-08,1,2023-05-08,147.297,2023-05-17,145.2965,regime,1.0,7,-0.01358,0.0014,-0.01498,regime
