symbol,decision_date,direction,entry_date,entry_price,exit_date,exit_price,exit_reason,confidence,holding_days,gross_pnl_pct,cost_pct,pnl_pct,note
XOM,2015-01-05,1,2015-01-05,56.6962,2015-01-06,55.5512,regime,1.0,1,-0.0202,0.0014,-0.0216,trailing
XOM,2015-01-09,1,2015-01-09,56.8193,2015-01-15,55.6681,regime,1.0,4,-0.02026,0.0014,-0.02166,trailing
XOM,2015-04-28,1,2015-04-28,54.0962,2015-04-30,54.9955,regime,1.0,2,0.01662,0.0014,0.01522,trailing
XOM,2015-06-03,1,2015-06-03,53.2992,2015-06-15,52.2361,regime,1.0,8,-0.01995,0.0014,-0.02135,trailing
XOM,2015-06-16,1,2015-06-16,52.4112,2015-06-25,53.0615,regime,1.0,7,0.01241,0.0014,0.01101,trailing
XOM,2015-06-29,1,2015-06-29,51.9359,2015-06-30,52.3674,regime,1.0,1,0.00831,0.0014,0.00691,trailing
XOM,2015-10-16,1,2015-10-16,51.9232,2015-10-22,50.9259,regime,1.0,4,-0.01921,0.0014,-0.02061,trailing
XOM,2015-10-23,1,2015-10-23,52.0179,2015-11-12,51.2998,trail_stop,1.0,14,-0.0138,0.0014,-0.0152,trailing
XOM,2016-02-11,1,2016-02-11,50.3326,2016-03-01,51.759,regime,1.0,12,0.02834,0.0014,0.02694,trailing
XOM,2016-03-02,1,2016-03-02,52.0095,2016-06-27,57.123,trail_stop,1.0,81,0.09832,0.0014,0.09692,trailing
XOM,2016-08-10,1,2016-08-10,57.3567,2016-08-11,56.6445,regime,1.0,1,-0.01242,0.0014,-0.01382,trailing
XOM,2016-08-30,1,2016-08-30,57.4155,2016-08-31,56.9385,regime,1.0,1,-0.00831,0.0014,-0.00971,trailing
XOM,2016-10-26,1,2016-10-26,56.357,2016-10-31,54.548,trail_stop,1.0,3,-0.0321,0.0014,-0.0335,trailing
XOM,2016-11-25,1,2016-11-25,57.1592,2016-11-30,57.7459,regime,1.0,3,0.01026,0.0014,0.00886,trailing
XOM,2016-12-06,1,2016-12-06,57.5284,2017-01-05,58.4522,trail_stop,1.0,20,0.01606,0.0014,0.01466,trailing
XOM,2017-01-27,1,2017-01-27,56.2298,2017-02-06,55.0762,regime,1.0,6,-0.02052,0.0014,-0.02192,trailing
XOM,2017-05-04,1,2017-05-04,54.7416,2017-05-05,54.3026,regime,1.0,1,-0.00802,0.0014,-0.00942,trailing
XOM,2017-05-08,1,2017-05-08,54.5487,2017-05-10,55.1444,regime,1.0,2,0.01092,0.0014,0.00952,trailing
XOM,2017-05-12,1,2017-05-12,55.3257,2017-05-26,54.8019,regime,1.0,10,-0.00947,0.0014,-0.01087,trailing
XOM,2017-06-07,1,2017-06-07,54.4259,2017-06-27,54.6945,regime,1.0,14,0.00494,0.0014,0.00354,trailing
XOM,2017-06-29,1,2017-06-29,54.6408,2017-06-30,54.446,regime,1.0,1,-0.00356,0.0014,-0.00496,trailing
XOM,2017-07-13,1,2017-07-13,54.3721,2017-07-21,54.1573,regime,1.0,6,-0.00395,0.0014,-0.00535,trailing
XOM,2017-09-21,1,2017-09-21,54.5737,2017-09-22,54.0517,regime,1.0,1,-0.00957,0.0014,-0.01097,trailing
XOM,2017-09-26,1,2017-09-26,54.7229,2017-11-16,55.0446,trail_stop,1.0,37,0.00588,0.0014,0.00448,trailing
XOM,2018-05-07,1,2018-05-07,53.741,2018-05-25,54.8218,trail_stop,1.0,14,0.02011,0.0014,0.01871,trailing
XOM,2018-08-22,1,2018-08-22,55.8122,2018-08-24,56.1014,regime,1.0,2,0.00518,0.0014,0.00378,trailing
XOM,2018-08-29,1,2018-08-29,56.7505,2018-08-31,56.6094,regime,1.0,2,-0.00249,0.0014,-0.00389,trailing
XOM,2018-09-10,1,2018-09-10,58.0204,2018-10-11,58.8977,trail_stop,1.0,23,0.01512,0.0014,0.01372,trailing
XOM,2018-10-23,1,2018-10-23,56.4824,2018-10-24,56.5318,regime,1.0,1,0.00087,0.0014,-0.00053,trailing
XOM,2018-11-02,1,2018-11-02,57.6817,2018-11-14,55.0099,trail_stop,1.0,8,-0.04632,0.0014,-0.04772,trailing
XOM,2018-11-19,1,2018-11-19,55.9147,2018-11-21,55.1807,regime,1.0,2,-0.01313,0.0014,-0.01453,trailing
XOM,2018-12-04,1,2018-12-04,57.9956,2018-12-06,55.5869,regime,1.0,1,-0.04153,0.0014,-0.04293,trailing
XOM,2019-02-21,1,2019-02-21,56.3553,2019-03-05,57.7316,regime,1.0,8,0.02442,0.0014,0.02302,trailing
XOM,2019-03-06,1,2019-03-06,56.8165,2019-04-26,57.8397,trail_stop,1.0,36,0.01801,0.0014,0.01661,trailing
XOM,2019-11-05,1,2019-11-05,53.1573,2019-11-13,51.467,trail_stop,1.0,6,-0.0318,0.0014,-0.0332,trailing
XOM,2019-11-18,1,2019-11-18,51.3041,2019-12-02,51.1547,regime,1.0,9,-0.00291,0.0014,-0.00431,trailing
XOM,2019-12-26,1,2019-12-26,52.4168,2020-01-21,50.9339,trail_stop,1.0,16,-0.02829,0.0014,-0.02969,trailing
XOM,2020-06-03,1,2020-06-03,37.0653,2020-06-11,36.7024,trail_stop,1.0,6,-0.00979,0.0014,-0.01119,trailing
XOM,2020-07-13,1,2020-07-13,33.1889,2020-07-21,33.3201,regime,1.0,6,0.00396,0.0014,0.00256,trailing
XOM,2020-07-22,1,2020-07-22,34.0924,2020-07-24,33.8838,regime,1.0,2,-0.00612,0.0014,-0.00752,trailing
XOM,2020-07-29,1,2020-07-29,33.7526,2020-07-31,31.7835,regime,1.0,2,-0.05834,0.0014,-0.05974,trailing
XOM,2020-08-10,1,2020-08-10,33.9688,2020-08-13,34.2531,regime,1.0,3,0.00837,0.0014,0.00697,trailing
XOM,2020-11-25,1,2020-11-25,33.6037,2020-12-01,31.4183,regime,1.0,3,-0.06503,0.0014,-0.06643,trailing
XOM,2020-12-02,1,2020-12-02,30.9586,2021-01-26,37.1601,trail_stop,1.0,36,0.20031,0.0014,0.19891,trailing
XOM,2021-07-27,1,2021-07-27,48.2682,2021-08-02,47.8855,regime,1.0,4,-0.00793,0.0014,-0.00933,trailing
XOM,2021-10-04,1,2021-10-04,51.7946,2021-11-19,52.9476,trail_stop,1.0,34,0.02226,0.0014,0.02086,trailing
XOM,2022-01-03,1,2022-01-03,52.4222,2022-03-15,68.2189,trail_stop,1.0,49,0.30134,0.0014,0.29994,trailing
XOM,2022-07-11,1,2022-07-11,74.4699,2022-07-13,72.9048,regime,1.0,2,-0.02102,0.0014,-0.02242,trailing
XOM,2022-07-20,1,2022-07-20,76.5772,2022-08-04,77.0593,trail_stop,1.0,11,0.0063,0.0014,0.0049,trailing
XOM,2022-08-24,1,2022-08-24,86.5295,2022-08-31,83.0157,regime,1.0,5,-0.04061,0.0014,-0.04201,trailing
XOM,2022-09-12,1,2022-09-12,86.2116,2022-09-23,77.2506,trail_stop,1.0,9,-0.10394,0.0014,-0.10534,trailing
XOM,2022-09-29,1,2022-09-29,77.8509,2022-12-06,93.9758,trail_stop,1.0,47,0.20713,0.0014,0.20573,trailing
