symbol,decision_date,direction,entry_date,entry_price,exit_date,exit_price,exit_reason,confidence,holding_days,gross_pnl_pct,cost_pct,pnl_pct,note
JNJ,2015-01-05,1,2015-01-05,76.0818,2015-01-06,75.9798,regime,1.0,1,-0.00134,0.0014,-0.00274,regime
JNJ,2015-01-06,-1,2015-01-06,75.9798,2015-01-07,75.6667,regime,1.0,1,0.00412,0.00144,0.00268,regime
JNJ,2015-01-07,1,2015-01-07,75.6667,2015-01-22,74.5598,regime,1.0,10,-0.01463,0.0014,-0.01603,regime
JNJ,2015-01-22,-1,2015-01-22,74.5598,2015-01-23,74.9604,regime,1.0,1,-0.00537,0.00144,-0.00681,regime
JNJ,2015-01-23,1,2015-01-23,74.9604,2015-01-26,74.1302,regime,1.0,1,-0.01107,0.0014,-0.01247,regime
JNJ,2015-01-26,-1,2015-01-26,74.1302,2015-04-27,74.1798,regime,1.0,63,-0.00067,0.0039,-0.00457,regime
JNJ,2015-04-27,1,2015-04-27,74.1798,2015-04-28,73.6592,regime,1.0,1,-0.00702,0.0014,-0.00842,regime
JNJ,2015-04-28,-1,2015-04-28,73.6592,2015-04-29,73.7032,regime,1.0,1,-0.0006,0.00144,-0.00204,regime
JNJ,2015-04-29,1,2015-04-29,73.7032,2015-05-01,73.0505,regime,1.0,2,-0.00885,0.0014,-0.01025,regime
JNJ,2015-05-01,-1,2015-05-01,73.0505,2015-05-07,72.5519,regime,1.0,4,0.00683,0.00156,0.00527,regime
JNJ,2015-05-07,1,2015-05-07,72.5519,2015-05-26,74.7725,regime,1.0,12,0.03061,0.0014,0.02921,regime
JNJ,2015-05-26,-1,2015-05-26,74.7725,2015-06-03,74.1003,regime,1.0,6,0.00899,0.00164,0.00735,regime
JNJ,2015-06-03,1,2015-06-03,74.1003,2015-06-09,72.7117,regime,1.0,4,-0.01874,0.0014,-0.02014,regime
JNJ,2015-06-09,-1,2015-06-09,72.7117,2015-06-12,73.0367,regime,1.0,3,-0.00447,0.00152,-0.00599,regime
JNJ,2015-06-12,1,2015-06-12,73.0367,2015-06-15,72.202,regime,1.0,1,-0.01143,0.0014,-0.01283,regime
JNJ,2015-06-15,-1,2015-06-15,72.202,2015-06-22,74.3071,regime,1.0,5,-0.02916,0.0016,-0.03075,regime
JNJ,2015-06-22,1,2015-06-22,74.3071,2015-06-25,73.4946,regime,1.0,3,-0.01093,0.0014,-0.01233,regime
JNJ,2015-06-25,-1,2015-06-25,73.4946,2015-06-29,73.1105,regime,1.0,2,0.00523,0.00148,0.00375,regime
JNJ,2015-06-29,1,2015-06-29,73.1105,2015-06-30,72.7043,regime,1.0,1,-0.00556,0.0014,-0.00696,regime
JNJ,2015-06-30,-1,2015-06-30,72.7043,2015-07-14,73.3173,regime,1.0,9,-0.00843,0.00176,-0.01019,regime
JNJ,2015-07-14,1,2015-07-14,73.3173,2015-07-22,74.1668,regime,1.0,6,0.01159,0.0014,0.01019,regime
JNJ,2015-07-22,-1,2015-07-22,74.1668,2015-07-23,74.2333,regime,1.0,1,-0.0009,0.00144,-0.00234,regime
JNJ,2015-07-23,1,2015-07-23,74.2333,2015-07-27,73.1031,regime,1.0,2,-0.01522,0.0014,-0.01662,regime
JNJ,2015-07-27,-1,2015-07-27,73.1031,2015-07-30,73.7162,regime,1.0,3,-0.00839,0.00152,-0.00991,regime
JNJ,2015-07-30,1,2015-07-30,73.7162,2015-08-05,74.285,regime,1.0,4,0.00772,0.0014,0.00632,regime
JNJ,2015-08-05,-1,2015-08-05,74.285,2015-08-06,74.2259,regime,1.0,1,0.0008,0.00144,-0.00064,regime
JNJ,2015-08-06,1,2015-08-06,74.2259,2015-08-07,73.1401,regime,1.0,1,-0.01463,0.0014,-0.01603,regime
JNJ,2015-08-07,-1,2015-08-07,73.1401,2015-10-21,72.6725,regime,1.0,52,0.00639,0.00346,0.00293,regime
JNJ,2015-10-21,1,2015-10-21,72.6725,2015-10-22,72.8287,regime,1.0,1,0.00215,0.0014,0.00075,regime
JNJ,2015-10-22,-1,2015-10-22,72.8287,2015-10-23,74.3397,regime,1.0,1,-0.02075,0.00144,-0.02219,regime
JNJ,2015-10-23,1,2015-10-23,74.3397,2016-01-14,72.8033,regime,1.0,56,-0.02067,0.0014,-0.02207,regime
JNJ,2016-01-14,-1,2016-01-14,72.8033,2016-01-15,72.256,regime,1.0,1,0.00752,0.00144,0.00608,regime
JNJ,2016-01-15,1,2016-01-15,72.256,2016-01-21,71.8061,regime,1.0,3,-0.00623,0.0014,-0.00763,regime
JNJ,2016-01-21,-1,2016-01-21,71.8061,2016-01-27,75.3451,regime,1.0,4,-0.04928,0.00156,-0.05084,regime
JNJ,2016-01-27,1,2016-01-27,75.3451,2016-09-27,90.6484,regime,1.0,169,0.20311,0.0014,0.20171,regime
JNJ,2016-09-27,-1,2016-09-27,90.6484,2016-11-10,92.4707,regime,1.0,32,-0.0201,0.00267,-0.02277,regime
JNJ,2016-11-10,1,2016-11-10,92.4707,2016-11-11,91.4906,regime,1.0,1,-0.0106,0.0014,-0.012,regime
JNJ,2016-11-11,-1,2016-11-11,91.4906,2017-01-18,88.561,regime,1.0,44,0.03202,0.00315,0.02887,regime
JNJ,2017-01-18,1,2017-01-18,88.561,2017-01-25,86.2944,regime,1.0,5,-0.02559,0.0014,-0.02699,regime
JNJ,2017-01-25,-1,2017-01-25,86.2944,2017-02-14,89.0005,regime,1.0,14,-0.03136,0.00196,-0.03331,regime
JNJ,2017-02-14,1,2017-02-14,89.0005,2017-09-06,102.6285,regime,1.0,141,0.15312,0.0014,0.15172,regime
JNJ,2017-09-06,-1,2017-09-06,102.6285,2017-09-08,103.7764,regime,1.0,2,-0.01118,0.00148,-0.01266,regime
JNJ,2017-09-08,1,2017-09-08,103.7764,2017-09-11,103.2811,regime,1.0,1,-0.00477,0.0014,-0.00617,regime
JNJ,2017-09-11,-1,2017-09-11,103.2811,2017-09-12,105.2151,regime,1.0,1,-0.01873,0.00144,-0.02017,regime
JNJ,2017-09-12,1,2017-09-12,105.2151,2017-09-13,104.3031,regime,1.0,1,-0.00867,0.0014,-0.01007,regime
JNJ,2017-09-13,-1,2017-09-13,104.3031,2017-09-15,105.9698,regime,1.0,2,-0.01598,0.00148,-0.01746,regime
JNJ,2017-09-15,1,2017-09-15,105.9698,2017-09-20,104.7591,regime,1.0,3,-0.01143,0.0014,-0.01283,regime
JNJ,2017-09-20,-1,2017-09-20,104.7591,2017-10-04,104.0909,regime,1.0,10,0.00638,0.0018,0.00458,regime
JNJ,2017-10-04,1,2017-10-04,104.0909,2018-02-01,108.7861,regime,1.0,82,0.04511,0.0014,0.04371,regime
JNJ,2018-02-01,-1,2018-02-01,108.7861,2018-02-02,109.9647,regime,1.0,1,-0.01083,0.00144,-0.01227,regime
JNJ,2018-02-02,1,2018-02-02,109.9647,2018-02-05,108.0347,regime,1.0,1,-0.01755,0.0014,-0.01895,regime
JNJ,2018-02-05,-1,2018-02-05,108.0347,2018-07-18,103.3015,regime,1.0,113,0.04381,0.00588,0.03793,regime
JNJ,2018-07-18,1,2018-07-18,103.3015,2018-07-24,102.0424,regime,1.0,4,-0.01219,0.0014,-0.01359,regime
JNJ,2018-07-24,-1,2018-07-24,102.0424,2018-07-25,103.5662,regime,1.0,1,-0.01493,0.00144,-0.01637,regime
JNJ,2018-07-25,1,2018-07-25,103.5662,2018-12-17,104.2541,regime,1.0,100,0.00664,0.0014,0.00524,regime
JNJ,2018-12-17,-1,2018-12-17,104.2541,2019-03-15,112.8623,regime,1.0,60,-0.08257,0.00378,-0.08635,regime
JNJ,2019-03-15,1,2019-03-15,112.8623,2019-05-29,111.897,regime,1.0,51,-0.00855,0.0014,-0.00995,regime
JNJ,2019-05-29,-1,2019-05-29,111.897,2019-06-10,114.1286,regime,1.0,8,-0.01994,0.00172,-0.02166,regime
JNJ,2019-06-10,1,2019-06-10,114.1286,2019-07-15,111.4853,regime,1.0,24,-0.02316,0.0014,-0.02456,regime
JNJ,2019-07-15,-1,2019-07-15,111.4853,2019-10-14,108.9774,regime,1.0,64,0.0225,0.00394,0.01856,regime
JNJ,2019-10-14,1,2019-10-14,108.9774,2019-10-21,106.7457,regime,1.0,5,-0.02048,0.0014,-0.02188,regime
JNJ,2019-10-21,-1,2019-10-21,106.7457,2019-10-31,109.8236,regime,1.0,8,-0.02883,0.00172,-0.03055,regime
JNJ,2019-10-31,1,2019-10-31,109.8236,2019-11-05,108.2888,regime,1.0,3,-0.01397,0.0014,-0.01537,regime
JNJ,2019-11-05,-1,2019-11-05,108.2888,2019-11-08,108.9276,regime,1.0,3,-0.0059,0.00152,-0.00742,regime
JNJ,2019-11-08,1,2019-11-08,108.9276,2020-03-02,113.3073,regime,1.0,76,0.04021,0.0014,0.03881,regime
JNJ,2020-03-02,-1,2020-03-02,113.3073,2020-03-03,117.6956,regime,1.0,1,-0.03873,0.00144,-0.04017,regime
JNJ,2020-03-03,1,2020-03-03,117.6956,2020-03-04,115.7453,regime,1.0,1,-0.01657,0.0014,-0.01797,regime
JNJ,2020-03-04,-1,2020-03-04,115.7453,2020-03-05,118.3682,regime,1.0,1,-0.02266,0.00144,-0.0241,regime
JNJ,2020-03-05,1,2020-03-05,118.3682,2020-03-10,117.6704,regime,1.0,3,-0.00589,0.0014,-0.00729,regime
JNJ,2020-03-10,-1,2020-03-10,117.6704,2020-03-11,116.0899,regime,1.0,1,0.01343,0.00144,0.01199,regime
JNJ,2020-03-11,1,2020-03-11,116.0899,2020-03-12,107.0274,regime,1.0,1,-0.07806,0.0014,-0.07946,regime
JNJ,2020-03-12,-1,2020-03-12,107.0274,2020-04-17,127.7754,regime,1.0,25,-0.19386,0.00239,-0.19625,regime
JNJ,2020-04-17,1,2020-04-17,127.7754,2020-05-01,125.783,regime,1.0,10,-0.01559,0.0014,-0.01699,regime
JNJ,2020-05-01,-1,2020-05-01,125.783,2020-05-18,128.1958,regime,1.0,11,-0.01918,0.00184,-0.02102,regime
JNJ,2020-05-18,1,2020-05-18,128.1958,2020-07-10,120.8394,regime,1.0,37,-0.05738,0.0014,-0.05878,regime
JNJ,2020-07-10,-1,2020-07-10,120.8394,2020-07-17,126.9766,regime,1.0,5,-0.05079,0.0016,-0.05239,regime
JNJ,2020-07-17,1,2020-07-17,126.9766,2020-07-20,127.1713,regime,1.0,1,0.00153,0.0014,0.00013,regime
