symbol,decision_date,direction,entry_date,entry_price,exit_date,exit_price,exit_reason,confidence,holding_days,gross_pnl_pct,cost_pct,pnl_pct,note
XOM,2015-01-05,1,2015-01-05,56.6962,2015-01-06,55.5512,regime,1.0,1,-0.0202,0.0014,-0.0216,regime
XOM,2015-01-06,-1,2015-01-06,55.5512,2015-01-09,56.8193,regime,1.0,3,-0.02283,0.00152,-0.02435,regime
XOM,2015-01-09,1,2015-01-09,56.8193,2015-01-15,55.6681,regime,1.0,4,-0.02026,0.0014,-0.02166,regime
XOM,2015-01-15,-1,2015-01-15,55.6681,2015-04-28,54.0962,regime,1.0,70,0.02824,0.00418,0.02406,regime
XOM,2015-04-28,1,2015-04-28,54.0962,2015-04-30,54.9955,regime,1.0,2,0.01662,0.0014,0.01522,regime
XOM,2015-04-30,-1,2015-04-30,54.9955,2015-06-03,53.2992,regime,1.0,23,0.03085,0.00231,0.02853,regime
XOM,2015-06-03,1,2015-06-03,53.2992,2015-06-15,52.2361,regime,1.0,8,-0.01995,0.0014,-0.02135,regime
XOM,2015-06-15,-1,2015-06-15,52.2361,2015-06-16,52.4112,regime,1.0,1,-0.00335,0.00144,-0.00479,regime
XOM,2015-06-16,1,2015-06-16,52.4112,2015-06-25,53.0615,regime,1.0,7,0.01241,0.0014,0.01101,regime
XOM,2015-06-25,-1,2015-06-25,53.0615,2015-06-29,51.9359,regime,1.0,2,0.02121,0.00148,0.01973,regime
XOM,2015-06-29,1,2015-06-29,51.9359,2015-06-30,52.3674,regime,1.0,1,0.00831,0.0014,0.00691,regime
XOM,2015-06-30,-1,2015-06-30,52.3674,2015-10-16,51.9232,regime,1.0,76,0.00848,0.00442,0.00407,regime
XOM,2015-10-16,1,2015-10-16,51.9232,2015-10-22,50.9259,regime,1.0,4,-0.01921,0.0014,-0.02061,regime
XOM,2015-10-22,-1,2015-10-22,50.9259,2015-10-23,52.0179,regime,1.0,1,-0.02144,0.00144,-0.02288,regime
XOM,2015-10-23,1,2015-10-23,52.0179,2016-01-05,49.1477,regime,1.0,49,-0.05518,0.0014,-0.05658,regime
XOM,2016-01-05,-1,2016-01-05,49.1477,2016-02-11,50.3326,regime,1.0,26,-0.02411,0.00243,-0.02654,regime
XOM,2016-02-11,1,2016-02-11,50.3326,2016-03-01,51.759,regime,1.0,12,0.02834,0.0014,0.02694,regime
XOM,2016-03-01,-1,2016-03-01,51.759,2016-03-02,52.0095,regime,1.0,1,-0.00484,0.00144,-0.00628,regime
XOM,2016-03-02,1,2016-03-02,52.0095,2016-08-02,56.01,regime,1.0,106,0.07692,0.0014,0.07552,regime
XOM,2016-08-02,-1,2016-08-02,56.01,2016-08-10,57.3567,regime,1.0,6,-0.02404,0.00164,-0.02568,regime
XOM,2016-08-10,1,2016-08-10,57.3567,2016-08-11,56.6445,regime,1.0,1,-0.01242,0.0014,-0.01382,regime
XOM,2016-08-11,-1,2016-08-11,56.6445,2016-08-30,57.4155,regime,1.0,13,-0.01361,0.00192,-0.01553,regime
XOM,2016-08-30,1,2016-08-30,57.4155,2016-08-31,56.9385,regime,1.0,1,-0.00831,0.0014,-0.00971,regime
XOM,2016-08-31,-1,2016-08-31,56.9385,2016-10-26,56.357,regime,1.0,39,0.01021,0.00295,0.00727,regime
