symbol,decision_date,direction,entry_date,entry_price,exit_date,exit_price,exit_reason,confidence,holding_days,gross_pnl_pct,cost_pct,pnl_pct,note
GOOGL,2015-01-05,-1,2015-01-05,26.1414,2015-01-22,26.0365,trail_stop,1.0,12,0.00402,0.00188,0.00214,trailing
GOOGL,2015-02-17,1,2015-02-17,27.3321,2015-02-19,26.9012,regime,1.0,2,-0.01577,0.0014,-0.01717,trailing
GOOGL,2015-02-19,-1,2015-02-19,26.9012,2015-02-20,27.1546,regime,1.0,1,-0.00942,0.00144,-0.01086,trailing
GOOGL,2015-02-20,1,2015-02-20,27.1546,2015-02-23,26.7291,regime,1.0,1,-0.01567,0.0014,-0.01707,trailing
GOOGL,2015-02-23,-1,2015-02-23,26.7291,2015-02-27,27.8494,trail_stop,1.0,4,-0.04191,0.00156,-0.04347,trailing
GOOGL,2015-02-27,1,2015-02-27,27.6787,2015-03-13,27.4003,trail_stop,1.0,10,-0.01006,0.0014,-0.01146,trailing
GOOGL,2015-05-12,-1,2015-05-12,26.918,2015-05-15,27.2939,regime,1.0,3,-0.01396,0.00152,-0.01548,trailing
GOOGL,2015-05-15,1,2015-05-15,27.2939,2015-05-26,27.4025,regime,1.0,6,0.00398,0.0014,0.00258,trailing
GOOGL,2015-05-26,-1,2015-05-26,27.4025,2015-06-22,28.0382,trail_stop,1.0,19,-0.0232,0.00215,-0.02535,trailing
GOOGL,2015-06-24,1,2015-06-24,27.8935,2015-06-25,27.7854,regime,1.0,1,-0.00388,0.0014,-0.00528,trailing
GOOGL,2015-06-25,-1,2015-06-25,27.7854,2015-06-26,27.7561,regime,1.0,1,0.00105,0.00144,-0.00039,trailing
GOOGL,2015-06-26,1,2015-06-26,27.7561,2015-06-30,27.0311,regime,1.0,2,-0.02612,0.0014,-0.02752,trailing
GOOGL,2015-06-30,-1,2015-06-30,27.0311,2015-07-08,27.0564,regime,1.0,5,-0.00094,0.0016,-0.00253,trailing
GOOGL,2015-07-08,1,2015-07-08,27.0564,2015-07-09,27.2076,regime,1.0,1,0.00559,0.0014,0.00419,trailing
GOOGL,2015-07-09,-1,2015-07-09,27.2076,2015-07-10,27.4586,regime,1.0,1,-0.00922,0.00144,-0.01066,trailing
GOOGL,2015-07-10,1,2015-07-10,27.4586,2015-08-21,32.3681,trail_stop,1.0,30,0.1788,0.0014,0.1774,trailing
GOOGL,2015-10-13,-1,2015-10-13,33.4367,2015-10-19,34.4156,regime,1.0,4,-0.02928,0.00156,-0.03084,trailing
GOOGL,2015-10-19,1,2015-10-19,34.4156,2015-12-14,36.9118,trail_stop,1.0,39,0.07253,0.0014,0.07113,trailing
GOOGL,2016-01-27,-1,2016-01-27,36.4929,2016-01-29,37.141,regime,1.0,2,-0.01776,0.00148,-0.01924,trailing
GOOGL,2016-01-29,1,2016-01-29,37.141,2016-02-04,36.9243,regime,1.0,4,-0.00583,0.0014,-0.00723,trailing
GOOGL,2016-02-04,-1,2016-02-04,36.9243,2016-03-17,37.6936,trail_stop,1.0,29,-0.02084,0.00255,-0.02339,trailing
GOOGL,2016-03-18,1,2016-03-18,37.7693,2016-03-21,37.3865,regime,1.0,1,-0.01014,0.0014,-0.01154,trailing
GOOGL,2016-03-21,-1,2016-03-21,37.3865,2016-04-01,37.5477,regime,1.0,8,-0.00431,0.00172,-0.00603,trailing
GOOGL,2016-04-01,1,2016-04-01,37.5477,2016-04-22,36.8906,trail_stop,1.0,15,-0.0175,0.0014,-0.0189,trailing
GOOGL,2016-04-26,-1,2016-04-26,36.9159,2016-05-04,35.0488,regime,1.0,6,0.05058,0.00164,0.04894,trailing
GOOGL,2016-05-04,1,2016-05-04,35.0488,2016-05-13,36.0332,regime,1.0,7,0.02809,0.0014,0.02669,trailing
GOOGL,2016-05-13,-1,2016-05-13,36.0332,2016-05-16,35.9191,regime,1.0,1,0.00317,0.00144,0.00173,trailing
GOOGL,2016-05-16,1,2016-05-16,35.9191,2016-05-18,35.6305,regime,1.0,2,-0.00804,0.0014,-0.00944,trailing
GOOGL,2016-05-18,-1,2016-05-18,35.6305,2016-05-19,35.6206,regime,1.0,1,0.00028,0.00144,-0.00116,trailing
GOOGL,2016-05-19,1,2016-05-19,35.6206,2016-05-20,35.5294,regime,1.0,1,-0.00256,0.0014,-0.00396,trailing
GOOGL,2016-05-20,-1,2016-05-20,35.5294,2016-05-25,36.4488,regime,1.0,3,-0.02588,0.00152,-0.0274,trailing
GOOGL,2016-05-25,1,2016-05-25,36.4488,2016-05-26,36.4983,regime,1.0,1,0.00136,0.0014,-4e-05,trailing
GOOGL,2016-05-26,-1,2016-05-26,36.4983,2016-05-31,37.1311,regime,1.0,2,-0.01734,0.00148,-0.01882,trailing
GOOGL,2016-05-31,1,2016-05-31,37.1311,2016-06-07,36.363,regime,1.0,5,-0.02069,0.0014,-0.02209,trailing
GOOGL,2016-06-07,-1,2016-06-07,36.363,2016-07-11,35.7359,trail_stop,1.0,23,0.01725,0.00231,0.01493,trailing
GOOGL,2016-07-20,1,2016-07-20,37.3934,2016-09-12,38.9045,trail_stop,1.0,37,0.04041,0.0014,0.03901,trailing
GOOGL,2016-11-03,-1,2016-11-03,38.9035,2016-11-09,39.7629,regime,1.0,4,-0.02209,0.00156,-0.02365,trailing
GOOGL,2016-11-09,1,2016-11-09,39.7629,2016-11-11,38.5221,regime,1.0,2,-0.0312,0.0014,-0.0326,trailing
GOOGL,2016-11-11,-1,2016-11-11,38.5221,2016-12-08,39.3225,regime,1.0,18,-0.02078,0.00211,-0.02289,trailing
GOOGL,2016-12-08,1,2016-12-08,39.3225,2016-12-19,40.1323,regime,1.0,7,0.02059,0.0014,0.01919,trailing
GOOGL,2016-12-19,-1,2016-12-19,40.1323,2016-12-21,40.4517,regime,1.0,2,-0.00796,0.00148,-0.00944,trailing
GOOGL,2016-12-21,1,2016-12-21,40.4517,2016-12-23,40.0693,regime,1.0,2,-0.00945,0.0014,-0.01085,trailing
GOOGL,2016-12-23,-1,2016-12-23,40.0693,2016-12-27,40.1026,regime,1.0,1,-0.00083,0.00144,-0.00227,trailing
GOOGL,2016-12-27,1,2016-12-27,40.1026,2017-01-03,39.7029,regime,1.0,4,-0.00997,0.0014,-0.01137,trailing
GOOGL,2017-01-03,-1,2017-01-03,39.7029,2017-01-04,40.1626,regime,1.0,1,-0.01158,0.00144,-0.01302,trailing
